"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"10154" "{X5=[-Inf;-0.153846],X7=[-Inf;-0.916667],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.161290322580645 1 0.161290322580645 1.80232558139535 100 4 1 100 1
"1099" "{X7=(-0.916667; Inf],X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.132258064516129 1 0.132258064516129 2.2463768115942 82 3 1 82 1
"9347" "{X4=(-0.5; Inf],X7=(-0.916667; Inf],X8=1,X13=[-Inf;-0.895]} => {Y=1}" 0.129032258064516 1 0.129032258064516 2.2463768115942 80 4 1 42 1
"10150" "{X3=[-Inf;-0.6994645],X5=[-Inf;-0.153846],X7=[-Inf;-0.916667],X8=-1} => {Y=-1}" 0.129032258064516 1 0.129032258064516 1.80232558139535 80 4 1 9 1
"978" "{X8=1,X10=(-0.9253735; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.125806451612903 1 0.125806451612903 2.2463768115942 78 3 1 19 1
"1215" "{X8=1,X10=(-0.9253735; Inf],X13=[-Inf;-0.895]} => {Y=1}" 0.119354838709677 1 0.119354838709677 2.2463768115942 74 3 1 13 1
"1115" "{X1=1,X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.109677419354839 1 0.109677419354839 2.2463768115942 68 3 1 5 1
"1111" "{X8=1,X11=-1,X14=(-0.99016; Inf]} => {Y=1}" 0.101612903225806 1 0.101612903225806 2.2463768115942 63 3 1 3 1
"1045" "{X3=(-0.6994645; Inf],X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.0919354838709677 1 0.0919354838709677 2.2463768115942 57 3 1 1 1
"1294" "{X7=(-0.916667; Inf],X10=(-0.9253735; Inf],X11=-1} => {Y=1}" 0.0870967741935484 1 0.0870967741935484 2.2463768115942 54 3 1 9 1
"2212" "{X8=-1,X9=1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.0870967741935484 1 0.0870967741935484 1.80232558139535 54 3 1 37 1
"1388" "{X1=-1,X5=[-Inf;-0.153846],X8=-1} => {Y=-1}" 0.0806451612903226 1 0.0806451612903226 1.80232558139535 50 3 1 12 1
"5611" "{X3=[-Inf;-0.6994645],X4=[-Inf;-0.5],X8=-1,X11=-1} => {Y=-1}" 0.0693548387096774 1 0.0693548387096774 1.80232558139535 43 4 1 23 1
"5600" "{X4=[-Inf;-0.5],X7=[-Inf;-0.916667],X8=-1,X11=-1} => {Y=-1}" 0.067741935483871 1 0.067741935483871 1.80232558139535 42 4 1 2 1
"8131" "{X1=-1,X3=(-0.6994645; Inf],X8=1,X9=1} => {Y=1}" 0.0661290322580645 1 0.0661290322580645 2.2463768115942 41 4 1 5 1
"8350" "{X1=-1,X7=(-0.916667; Inf],X8=1,X9=1} => {Y=1}" 0.0661290322580645 1 0.0661290322580645 2.2463768115942 41 4 1 1 1
"8926" "{X5=[-Inf;-0.153846],X8=-1,X13=[-Inf;-0.895],X14=[-Inf;-0.99016]} => {Y=-1}" 0.0661290322580645 1 0.0661290322580645 1.80232558139535 41 4 1 2 1
