"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"7795" "{CIRCULARITY=(40.5;49.5],RADIUS RATIO=[-Inf;174.5],MAX.LENGTH ASPECT RATIO=(8.5;16]} => {Class=van}" 0.106438896189225 1 0.106438896189225 4.25139664804469 81 3 1 81 1
"42769" "{CIRCULARITY=(40.5;49.5],DISTANCE CIRCULARITY=(76.5;92.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=(165.5;180.5]} => {Class=van}" 0.0788436268068331 1 0.0788436268068331 4.25139664804469 60 4 1 2 1
"21085" "{CIRCULARITY=(40.5;49.5],SCALED VARIANCE_MINOR=(305.5;344.5],SKEWNESS ABOUT_MINOR=[-Inf;10.5],KURTOSIS ABOUT_MINOR=[-Inf;181.5]} => {Class=bus}" 0.0735873850197109 1 0.0735873850197109 3.88265306122449 56 4 1 56 1
"7573" "{RADIUS RATIO=[-Inf;174.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED RADIUS OF GYRATION=(170.5;189.5]} => {Class=van}" 0.0696452036793692 1 0.0696452036793692 4.25139664804469 53 3 1 1 1
"28371" "{ELONGATEDNESS=(44.5;46.5],SCALED VARIANCE_MAJOR=(165.5;180.5],SCALED RADIUS OF GYRATION=(170.5;189.5],HOLLOWS RATIO=[-Inf;189.5]} => {Class=bus}" 0.0630749014454665 1 0.0630749014454665 3.88265306122449 48 4 1 4 1
"28891" "{ELONGATEDNESS=(44.5;46.5],SCALED VARIANCE_MAJOR=(165.5;180.5],SCALED RADIUS OF GYRATION=(170.5;189.5],SKEWNESS ABOUT_MAJOR=(74.5; Inf]} => {Class=bus}" 0.0630749014454665 1 0.0630749014454665 3.88265306122449 48 4 1 1 1
"41799" "{DISTANCE CIRCULARITY=(64.5;76.5],SCALED VARIANCE_MAJOR=(165.5;180.5],SCALED RADIUS OF GYRATION=(170.5;189.5],HOLLOWS RATIO=[-Inf;189.5]} => {Class=bus}" 0.0604467805519054 1 0.0604467805519054 3.88265306122449 46 4 1 4 1
"4166" "{MAX.LENGTH RECTANGULARITY=(148.5;165.5],SCALED VARIANCE_MINOR=(344.5;389.5],SCALED RADIUS OF GYRATION=(170.5;189.5]} => {Class=van}" 0.0591327201051248 1 0.0591327201051248 4.25139664804469 45 3 1 3 1
"7724" "{MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=(165.5;180.5],SKEWNESS ABOUT_MAJOR=(64.5;74.5]} => {Class=van}" 0.0565045992115637 1 0.0565045992115637 4.25139664804469 43 3 1 1 1
"2757" "{RADIUS RATIO=(174.5;234.5],PR.AXIS ASPECT RATIO=(68.5;86.5],KURTOSIS ABOUT_MINOR=(191.5; Inf]} => {Class=bus}" 0.0538764783180026 1 0.0538764783180026 3.88265306122449 41 3 1 41 1
"2765" "{PR.AXIS ASPECT RATIO=(68.5;86.5],KURTOSIS ABOUT_MAJOR=[-Inf;19.5],KURTOSIS ABOUT_MINOR=(191.5; Inf]} => {Class=bus}" 0.0538764783180026 1 0.0538764783180026 3.88265306122449 41 3 1 2 1
"4451" "{MAX.LENGTH RECTANGULARITY=(148.5;165.5],KURTOSIS ABOUT_MINOR=(181.5;185.5],HOLLOWS RATIO=(189.5; Inf]} => {Class=van}" 0.0525624178712221 1 0.0525624178712221 4.25139664804469 40 3 1 1 1
"26720" "{COMPACTNESS=(87.5;98.5],CIRCULARITY=(40.5;49.5],SKEWNESS ABOUT_MINOR=[-Inf;10.5],KURTOSIS ABOUT_MINOR=(181.5;185.5]} => {Class=van}" 0.0473061760840999 1 0.0473061760840999 4.25139664804469 36 4 1 4 1
"7704" "{MAX.LENGTH ASPECT RATIO=(8.5;16],PR.AXIS RECTANGULARITY=(18.5;19.5],HOLLOWS RATIO=(189.5; Inf]} => {Class=van}" 0.0459921156373193 1 0.0459921156373193 4.25139664804469 35 3 1 2 1
"31423" "{DISTANCE CIRCULARITY=(64.5;76.5],ELONGATEDNESS=(41.5;44.5],MAX.LENGTH RECTANGULARITY=(134.5;148.5],SKEWNESS ABOUT_MINOR=[-Inf;10.5]} => {Class=bus}" 0.0407358738501971 1 0.0407358738501971 3.88265306122449 31 4 1 20 1
"43202" "{CIRCULARITY=(40.5;49.5],MAX.LENGTH RECTANGULARITY=(148.5;165.5],SKEWNESS ABOUT_MAJOR=(74.5; Inf],HOLLOWS RATIO=(189.5; Inf]} => {Class=van}" 0.0407358738501971 1 0.0407358738501971 4.25139664804469 31 4 1 1 1
"43969" "{RADIUS RATIO=[-Inf;174.5],MAX.LENGTH ASPECT RATIO=(8.5;16],MAX.LENGTH RECTANGULARITY=(134.5;148.5],HOLLOWS RATIO=(189.5; Inf]} => {Class=van}" 0.038107752956636 1 0.038107752956636 4.25139664804469 29 4 1 2 1
"136" "{SCALED VARIANCE_MAJOR=(239; Inf],HOLLOWS RATIO=[-Inf;189.5]} => {Class=bus}" 0.0328515111695138 1 0.0328515111695138 3.88265306122449 25 2 1 24 1
