"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"6282" "{CIRCULARITY=(40.5;49.5],RADIUS RATIO=[-Inf;170.5],MAX.LENGTH ASPECT RATIO=(8.5;16]} => {Class=van}" 0.0972404730617608 1 0.0972404730617608 4.25139664804469 74 3 1 74 1
"6154" "{RADIUS RATIO=[-Inf;170.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=(165.5;180.5]} => {Class=van}" 0.0827858081471748 1 0.0827858081471748 4.25139664804469 63 3 1 4 1
"35226" "{CIRCULARITY=(40.5;49.5],DISTANCE CIRCULARITY=(76.5;92.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=(165.5;180.5]} => {Class=van}" 0.0735873850197109 1 0.0735873850197109 4.25139664804469 56 4 1 5 1
"22198" "{CIRCULARITY=(40.5;49.5],SCALED VARIANCE_MINOR=(298.5;347.5],SKEWNESS ABOUT_MINOR=[-Inf;11.5],KURTOSIS ABOUT_MINOR=[-Inf;181.5]} => {Class=bus}" 0.0670170827858081 1 0.0670170827858081 3.88265306122449 51 4 1 51 1
"229" "{PR.AXIS ASPECT RATIO=(68.5;86.5],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.0657030223390276 1 0.0657030223390276 3.88265306122449 50 2 1 48 1
"36798" "{DISTANCE CIRCULARITY=(63.5;76.5],SCALED VARIANCE_MAJOR=(165.5;180.5],SCALED RADIUS OF GYRATION=(170.5;192.5],HOLLOWS RATIO=[-Inf;189.5]} => {Class=bus}" 0.0657030223390276 1 0.0657030223390276 3.88265306122449 50 4 1 7 1
"697" "{COMPACTNESS=(98.5; Inf],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.0630749014454665 1 0.0630749014454665 3.88265306122449 48 2 1 40 1
"23685" "{ELONGATEDNESS=(44.5;46.5],SCALED VARIANCE_MAJOR=(165.5;180.5],SCALED RADIUS OF GYRATION=(170.5;192.5],SKEWNESS ABOUT_MAJOR=(74.5; Inf]} => {Class=bus}" 0.0604467805519054 1 0.0604467805519054 3.88265306122449 46 4 1 1 1
"4110" "{MAX.LENGTH RECTANGULARITY=(147.5;171.5],KURTOSIS ABOUT_MINOR=(181.5;185.5],HOLLOWS RATIO=(189.5; Inf]} => {Class=van}" 0.0565045992115637 1 0.0565045992115637 4.25139664804469 43 3 1 3 1
"2362" "{RADIUS RATIO=(170.5;234.5],PR.AXIS ASPECT RATIO=(68.5;86.5],KURTOSIS ABOUT_MINOR=(191.5; Inf]} => {Class=bus}" 0.0551905387647832 1 0.0551905387647832 3.88265306122449 42 3 1 2 1
"7849" "{MAX.LENGTH ASPECT RATIO=[-Inf;7.5],MAX.LENGTH RECTANGULARITY=(147.5;171.5],SKEWNESS ABOUT_MAJOR=(74.5; Inf]} => {Class=bus}" 0.0525624178712221 1 0.0525624178712221 3.88265306122449 40 3 1 2 1
"23688" "{MAX.LENGTH ASPECT RATIO=[-Inf;7.5],ELONGATEDNESS=(44.5;46.5],SCALED VARIANCE_MAJOR=(165.5;180.5],SCALED RADIUS OF GYRATION=(170.5;192.5]} => {Class=bus}" 0.0486202365308804 1 0.0486202365308804 3.88265306122449 37 4 1 2 1
