"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"7513" "{CIRCULARITY=(40.5;49.5],RADIUS RATIO=[-Inf;167.5],MAX.LENGTH ASPECT RATIO=(8.5;17.5]} => {Class=van}" 0.0894736842105263 1 0.0894736842105263 4.24581005586592 68 3 1 68 1
"7446" "{RADIUS RATIO=[-Inf;167.5],MAX.LENGTH ASPECT RATIO=(8.5;17.5],ELONGATEDNESS=(41.5;46.5]} => {Class=van}" 0.0881578947368421 1 0.0881578947368421 4.24581005586592 67 3 1 5 1
"459" "{PR.AXIS ASPECT RATIO=(67.5; Inf],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.0815789473684211 1 0.0815789473684211 3.87755102040816 62 2 1 62 1
"41737" "{CIRCULARITY=(40.5;49.5],DISTANCE CIRCULARITY=(76.5;92.5],MAX.LENGTH ASPECT RATIO=(8.5;17.5],ELONGATEDNESS=(41.5;46.5]} => {Class=van}" 0.0815789473684211 1 0.0815789473684211 4.24581005586592 62 4 1 9 1
"21934" "{CIRCULARITY=(40.5;49.5],SCALED VARIANCE_MINOR=(298.5;344.5],SKEWNESS ABOUT_MINOR=[-Inf;10.5],KURTOSIS ABOUT_MINOR=[-Inf;181.5]} => {Class=bus}" 0.0710526315789474 1 0.0710526315789474 3.87755102040816 54 4 1 51 1
"40769" "{DISTANCE CIRCULARITY=(64.5;76.5],SCALED RADIUS OF GYRATION=(170.5;192.5],SKEWNESS ABOUT_MINOR=[-Inf;10.5],HOLLOWS RATIO=[-Inf;189.5]} => {Class=bus}" 0.068421052631579 1 0.068421052631579 3.87755102040816 52 4 1 6 1
"29308" "{RADIUS RATIO=(167.5; Inf],PR.AXIS ASPECT RATIO=(67.5; Inf],SKEWNESS ABOUT_MINOR=[-Inf;10.5],KURTOSIS ABOUT_MINOR=(191.5; Inf]} => {Class=bus}" 0.0605263157894737 1 0.0605263157894737 3.87755102040816 46 4 1 2 1
"49468" "{DISTANCE CIRCULARITY=(64.5;76.5],RADIUS RATIO=(167.5; Inf],MAX.LENGTH ASPECT RATIO=[-Inf;7.5],SKEWNESS ABOUT_MAJOR=(64.5;74.5]} => {Class=bus}" 0.0486842105263158 1 0.0486842105263158 3.87755102040816 37 4 1 6 1
"8544" "{RADIUS RATIO=(167.5; Inf],MAX.LENGTH ASPECT RATIO=[-Inf;7.5],SKEWNESS ABOUT_MAJOR=(74.5; Inf]} => {Class=bus}" 0.0460526315789474 1 0.0460526315789474 3.87755102040816 35 3 1 27 1
"23528" "{COMPACTNESS=(87.5;98.5],ELONGATEDNESS=(41.5;46.5],KURTOSIS ABOUT_MINOR=(181.5;185.5],HOLLOWS RATIO=(189.5; Inf]} => {Class=van}" 0.0460526315789474 1 0.0460526315789474 4.24581005586592 35 4 1 2 1
"23619" "{COMPACTNESS=(87.5;98.5],CIRCULARITY=(40.5;49.5],SKEWNESS ABOUT_MINOR=[-Inf;10.5],KURTOSIS ABOUT_MINOR=(181.5;185.5]} => {Class=van}" 0.0407894736842105 1 0.0407894736842105 4.24581005586592 31 4 1 3 1
"802" "{DISTANCE CIRCULARITY=(92.5; Inf],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.0381578947368421 1 0.0381578947368421 3.87755102040816 29 2 1 5 1
"5681" "{CIRCULARITY=[-Inf;40.5],SCATTER RATIO=[-Inf;140.5],MAX.LENGTH RECTANGULARITY=(135.5;147.5]} => {Class=van}" 0.0342105263157895 1 0.0342105263157895 4.24581005586592 26 3 1 26 1
