"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"1088" "{pulse=(58; Inf],abdomen=distended small intestine} => {surgical_lesion=yes}" 0.120845921450151 1 0.120845921450151 1.58373205741627 40 2 1 40 1
"1086" "{surgery=yes,abdomen=distended small intestine} => {surgical_lesion=yes}" 0.117824773413897 1 0.117824773413897 1.58373205741627 39 2 1 5 1
"22722" "{surgery=yes,capillary_refill_time=<3,nasogastric_tube=slight} => {surgical_lesion=yes}" 0.117824773413897 1 0.117824773413897 1.58373205741627 39 3 1 27 1
"24061" "{surgery=yes,pulse=(58; Inf],peripheral_pulse=normal} => {surgical_lesion=yes}" 0.0996978851963746 1 0.0996978851963746 1.58373205741627 33 3 1 10 1
"10212" "{surgery=no,pain=alert no pain,outcome=lived} => {surgical_lesion=no}" 0.0966767371601208 1 0.0966767371601208 2.71311475409836 32 3 1 32 1
"20524" "{surgery=yes,peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}" 0.0906344410876133 1 0.0906344410876133 1.58373205741627 30 3 1 16 1
"20567" "{surgery=yes,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}" 0.0876132930513595 1 0.0876132930513595 1.58373205741627 29 3 1 5 1
"22612" "{surgery=yes,temp_extremities=cool,nasogastric_tube=slight} => {surgical_lesion=yes}" 0.0876132930513595 1 0.0876132930513595 1.58373205741627 29 3 1 6 1
"20527" "{Age=adult,peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}" 0.0845921450151057 1 0.0845921450151057 1.58373205741627 28 3 1 4 1
"22658" "{surgery=yes,nasogastric_tube=slight,nasogastric_reflux=none} => {surgical_lesion=yes}" 0.081570996978852 1 0.081570996978852 1.58373205741627 27 3 1 3 1
"21490" "{surgery=yes,pulse=(58; Inf],temp_extremities=normal} => {surgical_lesion=yes}" 0.0725075528700906 1 0.0725075528700906 1.58373205741627 24 3 1 5 1
"22447" "{surgery=yes,peripheral_pulse=reduced,nasogastric_reflux=none} => {surgical_lesion=yes}" 0.0725075528700906 1 0.0725075528700906 1.58373205741627 24 3 1 7 1
"21476" "{surgery=yes,temp_extremities=normal,peristalsis=hypomotile} => {surgical_lesion=yes}" 0.0694864048338369 1 0.0694864048338369 1.58373205741627 23 3 1 2 1
"14284" "{pulse=(58; Inf],peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0664652567975831 1 0.0664652567975831 1.58373205741627 22 3 1 2 1
"14901" "{surgery=yes,abdominocentesis_appearance=cloudy,outcome=lived} => {surgical_lesion=yes}" 0.0664652567975831 1 0.0664652567975831 1.58373205741627 22 3 1 5 1
"18719" "{Age=adult,abdominal_distension=moderate,outcome=died} => {surgical_lesion=yes}" 0.0664652567975831 1 0.0664652567975831 1.58373205741627 22 3 1 2 1
"20827" "{surgery=yes,capillary_refill_time=>=3,peristalsis=hypomotile} => {surgical_lesion=yes}" 0.0664652567975831 1 0.0664652567975831 1.58373205741627 22 3 1 2 1
"8689" "{surgery=yes,peripheral_pulse=reduced,pain=continuous severe pain} => {surgical_lesion=yes}" 0.0634441087613293 1 0.0634441087613293 1.58373205741627 21 3 1 1 1
"18106" "{surgery=no,pulse=[-Inf;58],abdominal_distension=slight} => {surgical_lesion=no}" 0.0634441087613293 1 0.0634441087613293 2.71311475409836 21 3 1 12 1
"1407" "{mucous_membranes=pale pink,peristalsis=absent} => {surgical_lesion=yes}" 0.0604229607250755 1 0.0604229607250755 1.58373205741627 20 2 1 9 1
"14282" "{surgery=yes,peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0604229607250755 1 0.0604229607250755 1.58373205741627 20 3 1 1 1
"15421" "{surgery=yes,rectal_examination=decreased,outcome=lived} => {surgical_lesion=yes}" 0.0604229607250755 1 0.0604229607250755 1.58373205741627 20 3 1 4 1
"18862" "{capillary_refill_time=<3,abdominal_distension=moderate,nasogastric_tube=slight} => {surgical_lesion=yes}" 0.0604229607250755 1 0.0604229607250755 1.58373205741627 20 3 1 3 1
