"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"12261" "{X5=[-Inf;-0.153846],X7=[-Inf;-0.9284215],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.154589371980676 1 0.154589371980676 1.8 96 4 1 96 1
"12257" "{X3=[-Inf;-0.6994645],X5=[-Inf;-0.153846],X7=[-Inf;-0.9284215],X8=-1} => {Y=-1}" 0.128824476650564 1 0.128824476650564 1.8 80 4 1 7 1
"1081" "{X1=1,X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.115942028985507 1 0.115942028985507 2.25 72 3 1 72 1
"1311" "{X4=[-Inf;-0.5],X8=-1,X11=-1} => {Y=-1}" 0.0917874396135266 1 0.0917874396135266 1.8 57 3 1 35 1
"7984" "{X4=[-Inf;-0.5],X6=[-Inf;0.625],X10=[-Inf;-0.9850745],X11=-1} => {Y=-1}" 0.0805152979066023 1 0.0805152979066023 1.8 50 4 1 8 1
"1948" "{X1=-1,X5=[-Inf;-0.153846],X8=-1} => {Y=-1}" 0.0789049919484702 1 0.0789049919484702 1.8 49 3 1 13 1
"6675" "{X7=(-0.9284215; Inf],X8=1,X13=(-0.9005; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.0789049919484702 1 0.0789049919484702 2.25 49 4 1 13 1
"9503" "{X4=(-0.5; Inf],X5=(-0.153846;0.4615385],X7=(-0.9284215; Inf],X10=(-0.9253735; Inf]} => {Y=1}" 0.0789049919484702 1 0.0789049919484702 2.25 49 4 1 24 1
"1015" "{X5=(-0.153846;0.4615385],X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.0772946859903382 1 0.0772946859903382 2.25 48 3 1 4 1
"10585" "{X4=(-0.5; Inf],X8=1,X11=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0756843800322061 1 0.0756843800322061 2.25 47 4 1 27 1
"6029" "{X8=1,X10=(-0.9253735; Inf],X13=(-0.9005; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.0676328502415459 1 0.0676328502415459 2.25 42 4 1 2 1
"13621" "{X3=(-0.6994645; Inf],X8=-1,X11=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.0676328502415459 1 0.0676328502415459 1.8 42 4 1 17 1
"9231" "{X1=1,X8=1,X10=(-0.9253735; Inf],X13=[-Inf;-0.9005]} => {Y=1}" 0.0628019323671498 1 0.0628019323671498 2.25 39 4 1 6 1
"6673" "{X3=[-Inf;-0.6994645],X7=(-0.9284215; Inf],X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.0595813204508857 1 0.0595813204508857 2.25 37 4 1 2 1
