"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"79" "{srv_count=(330.5; Inf]} => {labels=smurf.}" 0.573722222222222 1 0.573722222222222 1.74064403829417 10327 1 1 10327 1
"78" "{src_bytes=(1030;1035]} => {labels=smurf.}" 0.465555555555556 1 0.465555555555556 1.74064403829417 8380 1 1 12 1
"2861" "{src_bytes=[-Inf;0.5],diff_srv_rate=(0.035;0.185]} => {labels=neptune.}" 0.214166666666667 1 0.214166666666667 4.63320463320463 3855 2 1 3855 1
"2514" "{flag=b'S0',dst_host_serror_rate=(0.97; Inf]} => {labels=neptune.}" 0.174611111111111 1 0.174611111111111 4.63320463320463 3143 2 1 30 1
"45770" "{service=b'http',hot=[-Inf;0.5],dst_host_same_srv_rate=(0.995; Inf]} => {labels=normal.}" 0.115722222222222 1 0.115722222222222 5.19630484988453 2083 3 1 2083 1
"45800" "{service=b'http',flag=b'SF',num_compromised=[-Inf;0.5]} => {labels=normal.}" 0.110777777777778 1 0.110777777777778 5.19630484988453 1994 3 1 87 1
"55" "{src_bytes=(518;534]} => {labels=smurf.}" 0.108944444444444 1 0.108944444444444 1.74064403829417 1961 1 1 2 1
"2478" "{src_bytes=(28.5;333.5],dst_host_srv_count=(254.5; Inf]} => {labels=normal.}" 0.0946666666666667 1 0.0946666666666667 5.19630484988453 1704 2 1 40 1
"43919" "{src_bytes=(28.5;333.5],dst_bytes=(2;2189.5],num_failed_logins=0} => {labels=normal.}" 0.0891111111111111 1 0.0891111111111111 5.19630484988453 1604 3 1 516 1
"44017" "{protocol_type=b'tcp',dst_bytes=(2;2189.5],num_failed_logins=0} => {labels=normal.}" 0.0852777777777778 1 0.0852777777777778 5.19630484988453 1535 3 1 367 1
"38093" "{wrong_fragment=[-Inf;0.5],diff_srv_rate=[-Inf;0.005],dst_host_srv_diff_host_rate=(0.005;0.065]} => {labels=normal.}" 0.0819444444444444 1 0.0819444444444444 5.19630484988453 1475 3 1 83 1
"38187" "{wrong_fragment=[-Inf;0.5],serror_rate=[-Inf;0.005],dst_host_srv_diff_host_rate=(0.005;0.065]} => {labels=normal.}" 0.0818333333333333 1 0.0818333333333333 5.19630484988453 1473 3 1 5 1
"48504" "{src_bytes=(28.5;333.5],num_failed_logins=0,dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0798333333333333 1 0.0798333333333333 5.19630484988453 1437 3 1 194 1
"39561" "{hot=[-Inf;0.5],logged_in=1,dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0716666666666667 1 0.0716666666666667 5.19630484988453 1290 3 1 10 1
"39556" "{logged_in=1,dst_host_same_src_port_rate=(0.005;0.125],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0679444444444444 1 0.0679444444444444 5.19630484988453 1223 3 1 1 1
"39603" "{src_bytes=(28.5;333.5],num_failed_logins=0,dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0621111111111111 1 0.0621111111111111 5.19630484988453 1118 3 1 2 1
