"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"24187" "{surgery=yes,pulse=(58; Inf],peripheral_pulse=normal} => {surgical_lesion=yes}" 0.0963855421686747 1 0.0963855421686747 1.58851674641148 32 3 1 32 1
"20696" "{Age=adult,peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}" 0.0903614457831325 1 0.0903614457831325 1.58851674641148 30 3 1 26 1
"20693" "{surgery=yes,peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}" 0.0873493975903614 1 0.0873493975903614 1.58851674641148 29 3 1 4 1
"20713" "{surgery=yes,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}" 0.0873493975903614 1 0.0873493975903614 1.58851674641148 29 3 1 10 1
"7837" "{surgery=no,pain=alert no pain,outcome=lived} => {surgical_lesion=no}" 0.0813253012048193 1 0.0813253012048193 2.69918699186992 27 3 1 27 1
"1654" "{nasogastric_tube=slight,outcome=died} => {surgical_lesion=yes}" 0.0753012048192771 1 0.0753012048192771 1.58851674641148 25 2 1 3 1
"19691" "{Age=adult,abdominal_distension=moderate,outcome=died} => {surgical_lesion=yes}" 0.0753012048192771 1 0.0753012048192771 1.58851674641148 25 3 1 3 1
"20630" "{surgery=yes,abdomen=,outcome=died} => {surgical_lesion=yes}" 0.0753012048192771 1 0.0753012048192771 1.58851674641148 25 3 1 5 1
"22122" "{surgery=yes,nasogastric_tube=slight,rectal_examination=absent} => {surgical_lesion=yes}" 0.0753012048192771 1 0.0753012048192771 1.58851674641148 25 3 1 9 1
"12678" "{surgery=yes,rectal_examination=absent,abdomen=distended small intestine} => {surgical_lesion=yes}" 0.072289156626506 1 0.072289156626506 1.58851674641148 24 3 1 4 1
"14438" "{pulse=(58; Inf],peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0692771084337349 1 0.0692771084337349 1.58851674641148 23 3 1 4 1
"11279" "{surgery=yes,peripheral_pulse=reduced,pain=continuous severe pain} => {surgical_lesion=yes}" 0.0662650602409639 1 0.0662650602409639 1.58851674641148 22 3 1 7 1
