"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"27342" "{wheelBase=(94.8;97.25],width=(64.3;66.75],height=(51.8;56.15]} => {XClass=0}" 0.108695652173913 1 0.108695652173913 3.06666666666667 20 3 1 20 1
"27407" "{wheelBase=(94.8;97.25],height=(51.8;56.15],cityMpg=[-Inf;30.5]} => {XClass=0}" 0.0978260869565217 1 0.0978260869565217 3.06666666666667 18 3 1 2 1
"20827" "{normalizedLosses=(75.5;92],numOfDoors=four,numOfCylinders=four} => {XClass=0}" 0.0869565217391304 1 0.0869565217391304 3.06666666666667 16 3 1 4 1
"22185" "{length=(168.75;173.3],bore=(3.255; Inf],highwayMpg=[-Inf;28.5]} => {XClass=3}" 0.0869565217391304 1 0.0869565217391304 7.66666666666667 16 3 1 16 1
"1173" "{length=(168.75;173.3],height=[-Inf;50.35]} => {XClass=3}" 0.0815217391304348 1 0.0815217391304348 7.66666666666667 15 2 1 2 1
"20082" "{numOfDoors=four,wheelBase=(100.1; Inf],length=(179.35;187.65]} => {XClass=0}" 0.0706521739130435 1 0.0706521739130435 3.06666666666667 13 3 1 13 1
"32" "{make=peugot} => {XClass=0}" 0.0597826086956522 1 0.0597826086956522 3.06666666666667 11 1 1 4 1
"23644" "{fuelSystem=mpfi,wheelBase=(97.25;100.1],highwayMpg=(28.5; Inf]} => {XClass=2}" 0.0597826086956522 1 0.0597826086956522 6.3448275862069 11 3 1 11 1
"22336" "{numOfDoors=two,wheelBase=(94.8;97.25],highwayMpg=[-Inf;28.5]} => {XClass=3}" 0.0543478260869565 1 0.0543478260869565 7.66666666666667 10 3 1 1 1
"23601" "{bodyStyle=sedan,wheelBase=(97.25;100.1],bore=[-Inf;3.255]} => {XClass=2}" 0.0543478260869565 1 0.0543478260869565 6.3448275862069 10 3 1 5 1
"730" "{normalizedLosses=[-Inf;75.5],wheelBase=(100.1; Inf]} => {XClass=-1}" 0.0489130434782609 1 0.0489130434782609 9.2 9 2 1 9 1
"814" "{length=(173.3;175.5],height=(51.8;56.15]} => {XClass=0}" 0.0489130434782609 1 0.0489130434782609 3.06666666666667 9 2 1 1 1
"23639" "{bodyStyle=sedan,fuelSystem=mpfi,wheelBase=(97.25;100.1]} => {XClass=2}" 0.0489130434782609 1 0.0489130434782609 6.3448275862069 9 3 1 2 1
"24513" "{wheelBase=(92.15;94.8],engineSize=(85;105.5],cityMpg=[-Inf;30.5]} => {XClass=1}" 0.0489130434782609 1 0.0489130434782609 3.83333333333333 9 3 1 9 1
"1206" "{make=nissan,wheelBase=(92.15;94.8]} => {XClass=1}" 0.0434782608695652 1 0.0434782608695652 3.83333333333333 8 2 1 8 1
"16014" "{numOfDoors=two,length=(175.65;177.55],highwayMpg=(28.5; Inf]} => {XClass=2}" 0.0434782608695652 1 0.0434782608695652 6.3448275862069 8 3 1 2 1
"19505" "{normalizedLosses=(96.5; Inf],bodyStyle=sedan,numOfCylinders=six} => {XClass=0}" 0.0434782608695652 1 0.0434782608695652 3.06666666666667 8 3 1 6 1
"19716" "{engineType=ohc,wheelBase=(100.1; Inf],height=(56.25; Inf]} => {XClass=-1}" 0.0434782608695652 1 0.0434782608695652 9.2 8 3 1 4 1
"14817" "{normalizedLosses=(92;96.5],numOfDoors=four,width=(66.75; Inf]} => {XClass=-1}" 0.0380434782608696 1 0.0380434782608696 9.2 7 3 1 4 1
"18796" "{normalizedLosses=(96.5; Inf],fuelSystem=idi,curbWeight=(2321.5; Inf]} => {XClass=0}" 0.0380434782608696 1 0.0380434782608696 3.06666666666667 7 3 1 1 1
"22042" "{aspiration=turbo,bodyStyle=hatchback,width=(64.3;66.75]} => {XClass=3}" 0.0380434782608696 1 0.0380434782608696 7.66666666666667 7 3 1 1 1
"22440" "{bodyStyle=hatchback,driveWheels=fwd,highwayMpg=[-Inf;28.5]} => {XClass=3}" 0.0380434782608696 1 0.0380434782608696 7.66666666666667 7 3 1 2 1
"22688" "{fuelSystem=2bbl,width=[-Inf;64.3],height=(50.35;51.8]} => {XClass=1}" 0.0380434782608696 1 0.0380434782608696 3.83333333333333 7 3 1 7 1
"22763" "{numOfDoors=four,fuelSystem=2bbl,height=(50.35;51.8]} => {XClass=1}" 0.0380434782608696 1 0.0380434782608696 3.83333333333333 7 3 1 2 1
"19775" "{make=toyota,wheelBase=(100.1; Inf],width=(64.3;66.75]} => {XClass=-1}" 0.0326086956521739 1 0.0326086956521739 9.2 6 3 1 1 1
"20030" "{aspiration=turbo,length=(179.35;187.65],width=(66.75; Inf]} => {XClass=0}" 0.0326086956521739 1 0.0326086956521739 3.06666666666667 6 3 1 1 1
"22761" "{bodyStyle=sedan,fuelSystem=2bbl,height=(50.35;51.8]} => {XClass=1}" 0.0326086956521739 1 0.0326086956521739 3.83333333333333 6 3 1 1 1
"23171" "{make=toyota,length=[-Inf;168.75],width=[-Inf;64.3]} => {XClass=1}" 0.0326086956521739 1 0.0326086956521739 3.83333333333333 6 3 1 3 1
"24685" "{numOfDoors=two,bodyStyle=sedan,wheelBase=(92.15;94.8]} => {XClass=1}" 0.0326086956521739 1 0.0326086956521739 3.83333333333333 6 3 1 1 1
"1149" "{make=mazda,wheelBase=(92.15;94.8]} => {XClass=1}" 0.0271739130434783 1 0.0271739130434783 3.83333333333333 5 2 1 4 1
"16559" "{make=mazda,numOfDoors=two,fuelSystem=2bbl} => {XClass=1}" 0.0271739130434783 1 0.0271739130434783 3.83333333333333 5 3 1 2 1
"20003" "{numOfDoors=two,fuelSystem=mpfi,length=(179.35;187.65]} => {XClass=3}" 0.0271739130434783 1 0.0271739130434783 7.66666666666667 5 3 1 1 1
"24917" "{length=(168.75;173.3],height=(51.8;56.15],bore=(3.255; Inf]} => {XClass=0}" 0.0271739130434783 1 0.0271739130434783 3.06666666666667 5 3 1 1 1
"27942" "{numOfDoors=four,driveWheels=rwd,highwayMpg=(28.5; Inf]} => {XClass=0}" 0.0271739130434783 1 0.0271739130434783 3.06666666666667 5 3 1 1 1
"532" "{bodyStyle=hardtop,highwayMpg=(28.5; Inf]} => {XClass=2}" 0.0217391304347826 1 0.0217391304347826 6.3448275862069 4 2 1 1 1
"1543" "{aspiration=turbo,height=(50.35;51.8]} => {XClass=1}" 0.0217391304347826 1 0.0217391304347826 3.83333333333333 4 2 1 1 1
"8142" "{numOfDoors=two,length=(177.55;179.35],bore=(3.255; Inf]} => {XClass=1}" 0.0217391304347826 1 0.0217391304347826 3.83333333333333 4 3 1 2 1
"22573" "{bodyStyle=hatchback,width=(64.3;66.75],height=(50.35;51.8]} => {XClass=2}" 0.0217391304347826 1 0.0217391304347826 6.3448275862069 4 3 1 3 1
"24136" "{numOfDoors=two,bore=(3.255; Inf],price=[-Inf;8497]} => {XClass=2}" 0.0217391304347826 1 0.0217391304347826 6.3448275862069 4 3 1 3 1
"24632" "{driveWheels=rwd,wheelBase=(92.15;94.8],bore=[-Inf;3.255]} => {XClass=1}" 0.0217391304347826 1 0.0217391304347826 3.83333333333333 4 3 1 1 1
"1" "{height=(56.15;56.25]} => {XClass=-2}" 0.016304347826087 1 0.016304347826087 61.3333333333333 3 1 1 3 1
"2" "{make=jaguar} => {XClass=0}" 0.016304347826087 1 0.016304347826087 3.06666666666667 3 1 1 1 1
"424" "{aspiration=turbo,driveWheels=4wd} => {XClass=0}" 0.016304347826087 1 0.016304347826087 3.06666666666667 3 2 1 1 1
"484" "{make=audi,length=(188.9; Inf]} => {XClass=1}" 0.016304347826087 1 0.016304347826087 3.83333333333333 3 2 1 3 1
"670" "{fuelSystem=1bbl,wheelBase=(92.15;94.8]} => {XClass=1}" 0.016304347826087 1 0.016304347826087 3.83333333333333 3 2 1 1 1
"16753" "{make=mazda,bodyStyle=sedan,width=(64.3;66.75]} => {XClass=0}" 0.016304347826087 1 0.016304347826087 3.06666666666667 3 3 1 1 1
"16772" "{make=mazda,numOfDoors=four,width=(64.3;66.75]} => {XClass=0}" 0.016304347826087 1 0.016304347826087 3.06666666666667 3 3 1 1 1
"22407" "{fuelSystem=mpfi,width=[-Inf;64.3],engineSize=(105.5; Inf]} => {XClass=3}" 0.016304347826087 1 0.016304347826087 7.66666666666667 3 3 1 1 1
"27463" "{numOfDoors=four,width=[-Inf;64.3],price=(8497; Inf]} => {XClass=0}" 0.016304347826087 1 0.016304347826087 3.06666666666667 3 3 1 1 1
"14568" "{numOfDoors=two,engineType=ohcv,height=(51.8;56.15]} => {XClass=1}" 0.0108695652173913 1 0.0108695652173913 3.83333333333333 2 3 1 1 1
"23857" "{driveWheels=rwd,wheelBase=(97.25;100.1],width=(66.75; Inf]} => {XClass=1}" 0.0108695652173913 1 0.0108695652173913 3.83333333333333 2 3 1 1 1
"24672" "{wheelBase=(92.15;94.8],height=(51.8;56.15],bore=[-Inf;3.255]} => {XClass=1}" 0.119565217391304 0.916666666666667 0.130434782608696 3.51388888888889 22 3 1 1 1
