"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"39083" "{attribute_11=[-Inf;0.19795],attribute_21=[-Inf;0.67995],attribute_48=[-Inf;0.07585]} => {Class=Rock}" 0.176470588235294 1 0.176470588235294 2.14942528735632 33 3 1 33 1
"393" "{attribute_9=(0.1164; Inf],attribute_45=(0.26515; Inf]} => {Class=Mine}" 0.171122994652406 1 0.171122994652406 1.87 32 2 1 32 1
"34837" "{attribute_12=[-Inf;0.22505],attribute_21=[-Inf;0.67995],attribute_51=[-Inf;0.01245]} => {Class=Rock}" 0.165775401069519 1 0.165775401069519 2.14942528735632 31 3 1 7 1
"41023" "{attribute_12=[-Inf;0.22505],attribute_21=[-Inf;0.67995],attribute_48=[-Inf;0.07585]} => {Class=Rock}" 0.165775401069519 1 0.165775401069519 2.14942528735632 31 3 1 2 1
"30413" "{attribute_11=[-Inf;0.19795],attribute_13=[-Inf;0.2059],attribute_51=[-Inf;0.01245]} => {Class=Rock}" 0.149732620320856 1 0.149732620320856 2.14942528735632 28 3 1 2 1
"23714" "{attribute_10=[-Inf;0.16315],attribute_12=[-Inf;0.22505],attribute_46=[-Inf;0.06905]} => {Class=Rock}" 0.13903743315508 1 0.13903743315508 2.14942528735632 26 3 1 4 1
"25697" "{attribute_5=[-Inf;0.0389],attribute_9=[-Inf;0.1164],attribute_28=[-Inf;0.958]} => {Class=Rock}" 0.13903743315508 1 0.13903743315508 2.14942528735632 26 3 1 7 1
"30417" "{attribute_13=[-Inf;0.2059],attribute_48=[-Inf;0.07585],attribute_51=[-Inf;0.01245]} => {Class=Rock}" 0.128342245989305 1 0.128342245989305 2.14942528735632 24 3 1 1 1
"316" "{attribute_12=(0.22505; Inf],attribute_28=(0.958; Inf]} => {Class=Mine}" 0.122994652406417 1 0.122994652406417 1.87 23 2 1 17 1
"321" "{attribute_13=(0.2059; Inf],attribute_28=(0.958; Inf]} => {Class=Mine}" 0.122994652406417 1 0.122994652406417 1.87 23 2 1 1 1
"23776" "{attribute_10=[-Inf;0.16315],attribute_21=[-Inf;0.67995],attribute_46=[-Inf;0.06905]} => {Class=Rock}" 0.112299465240642 1 0.112299465240642 2.14942528735632 21 3 1 1 1
"314" "{attribute_28=(0.958; Inf],attribute_48=(0.07585; Inf]} => {Class=Mine}" 0.106951871657754 1 0.106951871657754 1.87 20 2 1 1 1
"25827" "{attribute_5=[-Inf;0.0389],attribute_36=(0.44265; Inf],attribute_45=[-Inf;0.26515]} => {Class=Rock}" 0.106951871657754 1 0.106951871657754 2.14942528735632 20 3 1 4 1
"21144" "{attribute_21=[-Inf;0.67995],attribute_47=[-Inf;0.0632],attribute_52=[-Inf;0.0094]} => {Class=Rock}" 0.101604278074866 1 0.101604278074866 2.14942528735632 19 3 1 2 1
"449" "{attribute_36=(0.44265; Inf],attribute_49=[-Inf;0.02305]} => {Class=Rock}" 0.0962566844919786 1 0.0962566844919786 2.14942528735632 18 2 1 1 1
"16105" "{attribute_49=[-Inf;0.02305],attribute_51=[-Inf;0.01245],attribute_52=[-Inf;0.0094]} => {Class=Rock}" 0.0909090909090909 1 0.0909090909090909 2.14942528735632 17 3 1 1 1
"21018" "{attribute_36=(0.44265; Inf],attribute_47=[-Inf;0.0632],attribute_48=[-Inf;0.07585]} => {Class=Rock}" 0.0909090909090909 1 0.0909090909090909 2.14942528735632 17 3 1 1 1
"175" "{attribute_5=(0.0389; Inf],attribute_54=(0.0225; Inf]} => {Class=Mine}" 0.0855614973262032 1 0.0855614973262032 1.87 16 2 1 9 1
"178" "{attribute_8=(0.07545; Inf],attribute_54=(0.0225; Inf]} => {Class=Mine}" 0.0855614973262032 1 0.0855614973262032 1.87 16 2 1 1 1
"174" "{attribute_9=(0.1164; Inf],attribute_54=(0.0225; Inf]} => {Class=Mine}" 0.0802139037433155 1 0.0802139037433155 1.87 15 2 1 1 1
"662" "{attribute_36=(0.44265; Inf],attribute_46=[-Inf;0.06905]} => {Class=Rock}" 0.0802139037433155 1 0.0802139037433155 2.14942528735632 15 2 1 2 1
"236" "{attribute_1=(0.05205; Inf],attribute_21=(0.67995; Inf]} => {Class=Mine}" 0.0748663101604278 1 0.0748663101604278 1.87 14 2 1 4 1
"23789" "{attribute_10=[-Inf;0.16315],attribute_46=[-Inf;0.06905],attribute_49=(0.02305; Inf]} => {Class=Rock}" 0.0641711229946524 1 0.0641711229946524 2.14942528735632 12 3 1 1 1
"16483" "{attribute_47=(0.0632; Inf],attribute_48=[-Inf;0.07585],attribute_49=[-Inf;0.02305]} => {Class=Rock}" 0.0481283422459893 1 0.0481283422459893 2.14942528735632 9 3 1 1 1
"40967" "{attribute_11=(0.19795; Inf],attribute_12=[-Inf;0.22505],attribute_21=(0.67995; Inf]} => {Class=Mine}" 0.0427807486631016 1 0.0427807486631016 1.87 8 3 1 3 1
"18474" "{attribute_5=(0.0389; Inf],attribute_8=[-Inf;0.07545],attribute_13=[-Inf;0.2059]} => {Class=Rock}" 0.0374331550802139 1 0.0374331550802139 2.14942528735632 7 3 1 1 1
"25435" "{attribute_11=(0.19795; Inf],attribute_46=[-Inf;0.06905],attribute_48=(0.07585; Inf]} => {Class=Mine}" 0.0374331550802139 1 0.0374331550802139 1.87 7 3 1 1 1
"44530" "{attribute_10=[-Inf;0.16315],attribute_11=(0.19795; Inf],attribute_48=(0.07585; Inf]} => {Class=Mine}" 0.0374331550802139 1 0.0374331550802139 1.87 7 3 1 1 1
"32383" "{attribute_12=(0.22505; Inf],attribute_13=[-Inf;0.2059],attribute_48=(0.07585; Inf]} => {Class=Mine}" 0.0320855614973262 1 0.0320855614973262 1.87 6 3 1 1 1
"28702" "{attribute_9=[-Inf;0.1164],attribute_10=(0.16315; Inf],attribute_28=[-Inf;0.958]} => {Class=Rock}" 0.0267379679144385 1 0.0267379679144385 2.14942528735632 5 3 1 1 1
"13327" "{attribute_9=[-Inf;0.1164],attribute_45=(0.26515; Inf],attribute_52=(0.0094; Inf]} => {Class=Rock}" 0.0160427807486631 1 0.0160427807486631 2.14942528735632 3 3 1 1 1
"18661" "{attribute_8=[-Inf;0.07545],attribute_10=(0.16315; Inf],attribute_52=[-Inf;0.0094]} => {Class=Rock}" 0.0160427807486631 1 0.0160427807486631 2.14942528735632 3 3 1 2 1
"28101" "{attribute_9=[-Inf;0.1164],attribute_11=(0.19795; Inf],attribute_36=(0.44265; Inf]} => {Class=Rock}" 0.0160427807486631 1 0.0160427807486631 2.14942528735632 3 3 1 1 1
"18321" "{attribute_8=[-Inf;0.07545],attribute_10=(0.16315; Inf],attribute_46=[-Inf;0.06905]} => {Class=Mine}" 0.0106951871657754 1 0.0106951871657754 1.87 2 3 1 1 1
"20948" "{attribute_9=[-Inf;0.1164],attribute_11=(0.19795; Inf],attribute_47=[-Inf;0.0632]} => {Class=Mine}" 0.0106951871657754 1 0.0106951871657754 1.87 2 3 1 1 1
"41093" "{attribute_12=[-Inf;0.22505],attribute_21=[-Inf;0.67995],attribute_45=[-Inf;0.26515]} => {Class=Rock}" 0.245989304812834 0.978723404255319 0.251336898395722 2.10369283443385 46 3 0.8 4 0.993548387096774
"44909" "{attribute_11=(0.19795; Inf],attribute_21=(0.67995; Inf],attribute_51=(0.01245; Inf]} => {Class=Mine}" 0.229946524064171 0.977272727272727 0.235294117647059 1.8275 43 3 0.909090909090909 10 0.987951807228916
"33006" "{attribute_21=[-Inf;0.67995],attribute_36=(0.44265; Inf],attribute_45=[-Inf;0.26515]} => {Class=Rock}" 0.192513368983957 0.972972972972973 0.197860962566845 2.09133271202237 36 3 0.666666666666667 2 0.982248520710059
"44741" "{attribute_21=(0.67995; Inf],attribute_48=(0.07585; Inf],attribute_51=(0.01245; Inf]} => {Class=Mine}" 0.176470588235294 0.970588235294118 0.181818181818182 1.815 33 3 1 2 0.982456140350877
"25955" "{attribute_5=[-Inf;0.0389],attribute_45=[-Inf;0.26515],attribute_52=[-Inf;0.0094]} => {Class=Rock}" 0.122994652406417 0.958333333333333 0.128342245989305 2.05986590038314 23 3 1 1 0.982558139534884
"44798" "{attribute_10=(0.16315; Inf],attribute_21=(0.67995; Inf],attribute_51=(0.01245; Inf]} => {Class=Mine}" 0.219251336898396 0.953488372093023 0.229946524064171 1.78302325581395 41 3 1 1 0.982658959537572
"34834" "{attribute_10=[-Inf;0.16315],attribute_12=[-Inf;0.22505],attribute_51=[-Inf;0.01245]} => {Class=Rock}" 0.165775401069519 0.939393939393939 0.176470588235294 2.01915708812261 31 3 0.5 1 0.977142857142857
"44967" "{attribute_9=(0.1164; Inf],attribute_21=(0.67995; Inf],attribute_51=(0.01245; Inf]} => {Class=Mine}" 0.240641711229947 0.9375 0.25668449197861 1.753125 45 3 1 1 0.977272727272727
