"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"8081" "{RADIUS RATIO=[-Inf;167.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=(165.5;180.5]} => {Class=van}" 0.0814717477003942 1 0.0814717477003942 4.25139664804469 62 3 1 62 1
"22921" "{CIRCULARITY=(40.5;47.5],SCALED VARIANCE_MINOR=(298.5;350.5],SKEWNESS ABOUT_MINOR=[-Inf;11.5],KURTOSIS ABOUT_MINOR=(177.5;181.5]} => {Class=bus}" 0.076215505913272 1 0.076215505913272 3.88265306122449 58 4 1 58 1
"8167" "{CIRCULARITY=(40.5;47.5],RADIUS RATIO=[-Inf;167.5],MAX.LENGTH ASPECT RATIO=(8.5;16]} => {Class=van}" 0.0749014454664915 1 0.0749014454664915 4.25139664804469 57 3 1 12 1
"45172" "{DISTANCE CIRCULARITY=(76.5;92.5],MAX.LENGTH ASPECT RATIO=(8.5;16],MAX.LENGTH RECTANGULARITY=(147.5;170.5],SCALED VARIANCE_MAJOR=(165.5;180.5]} => {Class=van}" 0.0722733245729304 1 0.0722733245729304 4.25139664804469 55 4 1 7 1
"29661" "{ELONGATEDNESS=(44.5;46.5],SCALED VARIANCE_MAJOR=(165.5;180.5],SCALED RADIUS OF GYRATION=(170.5;192.5],HOLLOWS RATIO=[-Inf;191.5]} => {Class=bus}" 0.0683311432325887 1 0.0683311432325887 3.88265306122449 52 4 1 6 1
"297" "{PR.AXIS ASPECT RATIO=(68.5;86.5],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.064388961892247 1 0.064388961892247 3.88265306122449 49 2 1 46 1
"45191" "{CIRCULARITY=(40.5;47.5],DISTANCE CIRCULARITY=(76.5;92.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=(165.5;180.5]} => {Class=van}" 0.0591327201051248 1 0.0591327201051248 4.25139664804469 45 4 1 1 1
"25298" "{SCATTER RATIO=(154.5;163.5],ELONGATEDNESS=(41.5;44.5],MAX.LENGTH RECTANGULARITY=(147.5;170.5],SKEWNESS ABOUT_MINOR=[-Inf;11.5]} => {Class=van}" 0.0565045992115637 1 0.0565045992115637 4.25139664804469 43 4 1 2 1
"3144" "{RADIUS RATIO=(167.5;234.5],PR.AXIS ASPECT RATIO=(68.5;86.5],KURTOSIS ABOUT_MINOR=(191.5; Inf]} => {Class=bus}" 0.0551905387647832 1 0.0551905387647832 3.88265306122449 42 3 1 2 1
"828" "{COMPACTNESS=(98.5; Inf],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.0538764783180026 1 0.0538764783180026 3.88265306122449 41 2 1 33 1
"5131" "{COMPACTNESS=(87.5;98.5],ELONGATEDNESS=(41.5;44.5],KURTOSIS ABOUT_MINOR=(181.5;185.5]} => {Class=van}" 0.0512483574244415 1 0.0512483574244415 4.25139664804469 39 3 1 1 1
"29682" "{MAX.LENGTH ASPECT RATIO=[-Inf;7.5],ELONGATEDNESS=(44.5;46.5],SCALED VARIANCE_MAJOR=(165.5;180.5],SCALED RADIUS OF GYRATION=(170.5;192.5]} => {Class=bus}" 0.0512483574244415 1 0.0512483574244415 3.88265306122449 39 4 1 2 1
"5200" "{COMPACTNESS=(87.5;98.5],SCALED RADIUS OF GYRATION=(170.5;192.5],KURTOSIS ABOUT_MINOR=(181.5;185.5]} => {Class=van}" 0.0473061760840999 1 0.0473061760840999 4.25139664804469 36 3 1 1 1
"3122" "{DISTANCE CIRCULARITY=(64.5;76.5],RADIUS RATIO=(167.5;234.5],PR.AXIS ASPECT RATIO=(68.5;86.5]} => {Class=bus}" 0.0407358738501971 1 0.0407358738501971 3.88265306122449 31 3 1 1 1
"4238" "{SCATTER RATIO=(154.5;163.5],MAX.LENGTH RECTANGULARITY=(147.5;170.5],SKEWNESS ABOUT_MAJOR=(74.5; Inf]} => {Class=van}" 0.0407358738501971 1 0.0407358738501971 4.25139664804469 31 3 1 1 1
"8001" "{MAX.LENGTH ASPECT RATIO=(8.5;16],PR.AXIS RECTANGULARITY=(18.5;19.5],HOLLOWS RATIO=(191.5; Inf]} => {Class=van}" 0.0407358738501971 1 0.0407358738501971 4.25139664804469 31 3 1 2 1
"9274" "{MAX.LENGTH ASPECT RATIO=[-Inf;7.5],MAX.LENGTH RECTANGULARITY=(147.5;170.5],SKEWNESS ABOUT_MAJOR=(74.5; Inf]} => {Class=bus}" 0.0394218134034166 1 0.0394218134034166 3.88265306122449 30 3 1 2 1
"826" "{COMPACTNESS=(98.5; Inf],HOLLOWS RATIO=[-Inf;191.5]} => {Class=bus}" 0.038107752956636 1 0.038107752956636 3.88265306122449 29 2 1 1 1
"9217" "{RADIUS RATIO=(167.5;234.5],KURTOSIS ABOUT_MAJOR=[-Inf;19.5],HOLLOWS RATIO=[-Inf;191.5]} => {Class=bus}" 0.0302233902759527 1 0.0302233902759527 3.88265306122449 23 3 1 1 1
"30856" "{COMPACTNESS=(87.5;98.5],CIRCULARITY=(40.5;47.5],SKEWNESS ABOUT_MINOR=[-Inf;11.5],KURTOSIS ABOUT_MINOR=(181.5;185.5]} => {Class=van}" 0.0302233902759527 1 0.0302233902759527 4.25139664804469 23 4 1 3 1
"200" "{COMPACTNESS=[-Inf;81.5],CIRCULARITY=(40.5;47.5]} => {Class=bus}" 0.0275952693823916 1 0.0275952693823916 3.88265306122449 21 2 1 3 1
"3467" "{DISTANCE CIRCULARITY=[-Inf;64.5],SCATTER RATIO=[-Inf;140.5],MAX.LENGTH RECTANGULARITY=(135.5;147.5]} => {Class=van}" 0.0275952693823916 1 0.0275952693823916 4.25139664804469 21 3 1 18 1
"34961" "{CIRCULARITY=[-Inf;40.5],SCATTER RATIO=[-Inf;140.5],MAX.LENGTH RECTANGULARITY=(135.5;147.5],SKEWNESS ABOUT_MINOR=[-Inf;11.5]} => {Class=van}" 0.0275952693823916 1 0.0275952693823916 4.25139664804469 21 4 1 12 1
"135" "{SCALED VARIANCE_MAJOR=(194.5;243.5],SCALED VARIANCE_MINOR=(721.5;761.5]} => {Class=opel}" 0.026281208935611 1 0.026281208935611 3.98429319371728 20 2 1 20 1
"5958" "{SCATTER RATIO=[-Inf;140.5],MAX.LENGTH RECTANGULARITY=(135.5;147.5],SKEWNESS ABOUT_MAJOR=(74.5; Inf]} => {Class=van}" 0.0249671484888305 1 0.0249671484888305 4.25139664804469 19 3 1 3 1
"9013" "{DISTANCE CIRCULARITY=(64.5;76.5],RADIUS RATIO=(167.5;234.5],SCALED RADIUS OF GYRATION=(170.5;192.5]} => {Class=bus}" 0.0249671484888305 1 0.0249671484888305 3.88265306122449 19 3 1 3 1
