"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"924" "{X1=1,X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.111111111111111 1 0.111111111111111 2.25 69 3 1 69 1
"9678" "{X1=-1,X2=[-Inf;-0.181654],X5=[-Inf;0.153846],X8=-1} => {Y=-1}" 0.0950080515297907 1 0.0950080515297907 1.8 59 4 1 59 1
"11712" "{X2=[-Inf;-0.181654],X8=-1,X9=1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.0837359098228663 1 0.0837359098228663 1.8 52 4 1 34 1
"11089" "{X3=(-0.6994645; Inf],X5=[-Inf;0.153846],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.0789049919484702 1 0.0789049919484702 1.8 49 4 1 29 1
"5616" "{X7=(-0.9284215; Inf],X8=1,X13=(-0.9005; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.0772946859903382 1 0.0772946859903382 2.25 48 4 1 13 1
"8567" "{X4=(-0.5; Inf],X8=1,X11=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0772946859903382 1 0.0772946859903382 2.25 48 4 1 41 1
"2129" "{X5=[-Inf;0.153846],X8=-1,X9=1} => {Y=-1}" 0.0756843800322061 1 0.0756843800322061 1.8 47 3 1 7 1
"5487" "{X5=[-Inf;0.153846],X8=1,X9=1,X14=(-0.99016; Inf]} => {Y=1}" 0.0756843800322061 1 0.0756843800322061 2.25 47 4 1 8 1
"6802" "{X4=[-Inf;-0.5],X7=[-Inf;-0.9284215],X8=-1,X11=-1} => {Y=-1}" 0.072463768115942 1 0.072463768115942 1.8 45 4 1 27 1
"6814" "{X3=[-Inf;-0.6994645],X4=[-Inf;-0.5],X8=-1,X11=-1} => {Y=-1}" 0.07085346215781 1 0.07085346215781 1.8 44 4 1 5 1
"6815" "{X4=[-Inf;-0.5],X5=[-Inf;0.153846],X8=-1,X11=-1} => {Y=-1}" 0.07085346215781 1 0.07085346215781 1.8 44 4 1 1 1
"450" "{X5=[-Inf;0.153846],X6=[-Inf;-0.875],X8=-1} => {Y=-1}" 0.0676328502415459 1 0.0676328502415459 1.8 42 3 1 8 1
"4956" "{X8=1,X10=(-0.9253735; Inf],X13=(-0.9005; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.0644122383252818 1 0.0644122383252818 2.25 40 4 1 1 1
"6816" "{X1=1,X4=[-Inf;-0.5],X8=-1,X11=-1} => {Y=-1}" 0.0628019323671498 1 0.0628019323671498 1.8 39 4 1 1 1
"7260" "{X1=1,X8=1,X10=(-0.9253735; Inf],X13=[-Inf;-0.9005]} => {Y=1}" 0.0595813204508857 1 0.0595813204508857 2.25 37 4 1 9 1
"906" "{X3=[-Inf;-0.6994645],X7=(-0.9284215; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.0579710144927536 1 0.0579710144927536 2.25 36 3 1 1 1
"8276" "{X1=1,X5=(0.153846; Inf],X8=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0579710144927536 1 0.0579710144927536 2.25 36 4 1 6 1
"8278" "{X5=(0.153846; Inf],X8=1,X13=[-Inf;-0.9005],X14=[-Inf;-0.99016]} => {Y=1}" 0.0579710144927536 1 0.0579710144927536 2.25 36 4 1 8 1
"505" "{X2=[-Inf;-0.181654],X5=[-Inf;0.153846],X6=[-Inf;-0.875]} => {Y=-1}" 0.0563607085346216 1 0.0563607085346216 1.8 35 3 1 3 1
"11697" "{X1=1,X2=[-Inf;-0.181654],X8=-1,X9=1} => {Y=-1}" 0.0563607085346216 1 0.0563607085346216 1.8 35 4 1 2 1
