"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"92" "{a05=[-Inf;0.04144]} => {class=b}" 0.192429022082019 1 0.192429022082019 2.78070175438596 61 1 1 61 1
"87" "{a03=[-Inf;0.19028]} => {class=b}" 0.173501577287066 1 0.173501577287066 2.78070175438596 55 1 1 17 1
"5115" "{a06=(-0.217515;-0.000715],a19=(0.37167;0.99657]} => {class=g}" 0.154574132492114 1 0.154574132492114 1.5615763546798 49 2 1 49 1
"5113" "{a06=(-0.217515;-0.000715],a13=(0.35474;0.998725]} => {class=g}" 0.151419558359621 1 0.151419558359621 1.5615763546798 48 2 1 3 1
"5120" "{a06=(-0.217515;-0.000715],a17=(0.29207;0.99815]} => {class=g}" 0.151419558359621 1 0.151419558359621 1.5615763546798 48 2 1 2 1
"5124" "{a06=(-0.217515;-0.000715],a31=(0.132415;0.99556]} => {class=g}" 0.151419558359621 1 0.151419558359621 1.5615763546798 48 2 1 2 1
"3943" "{a33=(-0.04018;0.0002],a34=(-3e-05;0.0054]} => {class=b}" 0.141955835962145 1 0.141955835962145 2.78070175438596 45 2 1 6 1
"5110" "{a06=(-0.217515;-0.000715],a27=(0.52812;0.999945]} => {class=g}" 0.138801261829653 1 0.138801261829653 1.5615763546798 44 2 1 1 1
"5150" "{a27=(0.999945; Inf],a31=[-Inf;0.132415]} => {class=b}" 0.1198738170347 1 0.1198738170347 2.78070175438596 38 2 1 5 1
"4442" "{a05=(0.420355;0.999075],a17=(-0.96177;-0.05415]} => {class=g}" 0.113564668769716 1 0.113564668769716 1.5615763546798 36 2 1 36 1
"3719" "{a15=(-0.0283;0.239955],a16=(-0.00197;0.00143]} => {class=b}" 0.110410094637224 1 0.110410094637224 2.78070175438596 35 2 1 1 1
"56" "{a01=0} => {class=b}" 0.107255520504732 1 0.107255520504732 2.78070175438596 34 1 1 3 1
"3831" "{a21=(-1.5e-05;0.07206],a33=(-0.04018;0.0002]} => {class=b}" 0.107255520504732 1 0.107255520504732 2.78070175438596 34 2 1 1 1
"3552" "{a13=(-0.96546;-0.076515],a17=(-0.96177;-0.05415]} => {class=g}" 0.100946372239748 1 0.100946372239748 1.5615763546798 32 2 1 5 1
"5186" "{a05=(0.999075; Inf],a27=(0.52812;0.999945]} => {class=g}" 0.100946372239748 1 0.100946372239748 1.5615763546798 32 2 1 20 1
"48" "{a18=[-Inf;-0.805795]} => {class=b}" 0.0883280757097792 1 0.0883280757097792 2.78070175438596 28 1 1 3 1
"3154" "{a11=(-0.06473;0.08713],a12=(-0.00027;0.001845]} => {class=b}" 0.0883280757097792 1 0.0883280757097792 2.78070175438596 28 2 1 1 1
"5189" "{a05=(0.999075; Inf],a13=(0.35474;0.998725]} => {class=g}" 0.0883280757097792 1 0.0883280757097792 1.5615763546798 28 2 1 4 1
"41" "{a14=(0.652535;0.97565]} => {class=g}" 0.0851735015772871 1 0.0851735015772871 1.5615763546798 27 1 1 5 1
"3415" "{a09=(-0.036395;0.067985],a31=[-Inf;0.132415]} => {class=b}" 0.0851735015772871 1 0.0851735015772871 2.78070175438596 27 2 1 1 1
"3849" "{a21=(-1.5e-05;0.07206],a27=(0.999945; Inf]} => {class=b}" 0.082018927444795 1 0.082018927444795 2.78070175438596 26 2 1 1 1
"5117" "{a04=(0.007075;0.74685],a06=(-0.217515;-0.000715]} => {class=g}" 0.0788643533123028 1 0.0788643533123028 1.5615763546798 25 2 1 1 1
"5195" "{a05=(0.999075; Inf],a08=(0.000985;0.994515]} => {class=g}" 0.0788643533123028 1 0.0788643533123028 1.5615763546798 25 2 1 7 1
"36523" "{a12=(0.001845;0.981525],a19=(-0.607565;-0.04391],a30=(-0.91428;0.930305]} => {class=g}" 0.0725552050473186 1 0.0725552050473186 1.5615763546798 23 3 1 1 1
"2639" "{a22=(0.923655; Inf],a27=(0.999945; Inf]} => {class=b}" 0.0694006309148265 1 0.0694006309148265 2.78070175438596 22 2 1 3 1
"25" "{a16=[-Inf;-0.62552]} => {class=b}" 0.0662460567823344 1 0.0662460567823344 2.78070175438596 21 1 1 2 1
"47128" "{a16=(0.00143;0.96841],a23=(-0.96809;-0.0092],a29=(-0.91183;-9e-05]} => {class=g}" 0.0662460567823344 1 0.0662460567823344 1.5615763546798 21 3 1 1 1
"47462" "{a04=(0.007075;0.74685],a05=(0.420355;0.999075],a29=(-0.91183;-9e-05]} => {class=g}" 0.0662460567823344 1 0.0662460567823344 1.5615763546798 21 3 1 2 1
"2579" "{a14=[-Inf;-0.554585],a27=(0.999945; Inf]} => {class=b}" 0.0630914826498423 1 0.0630914826498423 2.78070175438596 20 2 1 2 1
"1423" "{a03=(0.19028; Inf],a09=(-0.704705;-0.036395]} => {class=g}" 0.0599369085173502 1 0.0599369085173502 1.5615763546798 19 2 1 2 1
"5102" "{a05=(0.999075; Inf],a06=(-0.217515;-0.000715]} => {class=g}" 0.056782334384858 1 0.056782334384858 1.5615763546798 18 2 1 1 1
"4586" "{a15=(0.99914; Inf],a27=(0.52812;0.999945]} => {class=g}" 0.0536277602523659 1 0.0536277602523659 1.5615763546798 17 2 1 2 1
"4552" "{a17=(0.99815; Inf],a29=(0.06779;0.997]} => {class=g}" 0.0504731861198738 1 0.0504731861198738 1.5615763546798 16 2 1 3 1
"2597" "{a14=[-Inf;-0.554585],a30=(-0.91428;0.930305]} => {class=b}" 0.0473186119873817 1 0.0473186119873817 2.78070175438596 15 2 1 1 1
"4725" "{a23=(0.999665; Inf],a27=(0.52812;0.999945]} => {class=g}" 0.0441640378548896 1 0.0441640378548896 1.5615763546798 14 2 1 2 1
"760" "{a16=(0.96841; Inf],a27=(0.999945; Inf]} => {class=b}" 0.0378548895899054 1 0.0378548895899054 2.78070175438596 12 2 1 1 1
"2125" "{a04=(0.74685; Inf],a25=(0.999495; Inf]} => {class=b}" 0.0378548895899054 1 0.0378548895899054 2.78070175438596 12 2 1 1 1
"2370" "{a24=[-Inf;-0.987455],a30=(-0.91428;0.930305]} => {class=b}" 0.0347003154574132 1 0.0347003154574132 2.78070175438596 11 2 1 1 1
"4539" "{a13=(0.35474;0.998725],a17=(0.99815; Inf]} => {class=g}" 0.0347003154574132 1 0.0347003154574132 1.5615763546798 11 2 1 1 1
"4015" "{a19=(0.99657; Inf],a27=(0.52812;0.999945]} => {class=g}" 0.0315457413249211 1 0.0315457413249211 1.5615763546798 10 2 1 1 1
"3026" "{a04=(-0.00017;0.007075],a15=(0.239955;0.99914]} => {class=g}" 0.028391167192429 1 0.028391167192429 1.5615763546798 9 2 1 2 1
"35458" "{a13=(0.01567;0.35474],a16=(0.00143;0.96841],a34=(-0.974115;-3e-05]} => {class=g}" 0.028391167192429 1 0.028391167192429 1.5615763546798 9 3 1 1 1
"35460" "{a08=(0.000985;0.994515],a13=(0.01567;0.35474],a34=(-0.974115;-3e-05]} => {class=g}" 0.028391167192429 1 0.028391167192429 1.5615763546798 9 3 1 1 1
"35510" "{a05=(0.420355;0.999075],a13=(0.01567;0.35474],a16=(0.00143;0.96841]} => {class=g}" 0.028391167192429 1 0.028391167192429 1.5615763546798 9 3 1 1 1
"15709" "{a05=(0.04144;0.420355],a08=(0.000985;0.994515],a25=(0.08722;0.999495]} => {class=g}" 0.0252365930599369 1 0.0252365930599369 1.5615763546798 8 3 1 1 1
"15524" "{a03=(0.19028; Inf],a05=(0.04144;0.420355],a16=(-0.62552;-0.00197]} => {class=g}" 0.0220820189274448 1 0.0220820189274448 1.5615763546798 7 3 1 1 1
"49993" "{a12=(0.001845;0.981525],a16=(0.00143;0.96841],a33=(0.994855; Inf]} => {class=g}" 0.0220820189274448 1 0.0220820189274448 1.5615763546798 7 3 1 1 1
"3199" "{a12=(-0.00027;0.001845],a15=(0.239955;0.99914]} => {class=g}" 0.0189274447949527 1 0.0189274447949527 1.5615763546798 6 2 1 1 1
"3754" "{a15=(0.239955;0.99914],a16=(-0.00197;0.00143]} => {class=g}" 0.0189274447949527 1 0.0189274447949527 1.5615763546798 6 2 1 1 1
"546" "{a05=(0.420355;0.999075],a23=(0.0195;0.179765]} => {class=g}" 0.0157728706624606 1 0.0157728706624606 1.5615763546798 5 2 1 2 1
"1854" "{a29=(0.06779;0.997],a30=(0.930305; Inf]} => {class=g}" 0.0126182965299685 1 0.0126182965299685 1.5615763546798 4 2 1 2 1
"8355" "{a07=(0.029375;0.999995],a13=(0.01567;0.35474],a23=(0.0195;0.179765]} => {class=b}" 0.0126182965299685 1 0.0126182965299685 2.78070175438596 4 3 1 1 1
"5456" "{a27=(0.52812;0.999945],a33=(0.0002;0.994855]} => {class=g}" 0.302839116719243 0.989690721649485 0.305993690851735 1.54547762937383 96 2 1 24 1
"5661" "{a04=(0.007075;0.74685],a05=(0.420355;0.999075]} => {class=g}" 0.290220820189274 0.989247311827957 0.293375394321767 1.5447852110811 92 2 1 9 1
"5506" "{a13=(0.35474;0.998725],a34=(-0.974115;-3e-05]} => {class=g}" 0.198738170347003 0.969230769230769 0.205047318611987 1.51352785145889 63 2 0.75 3 0.996815286624204
