"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"80" "{srv_count=(330.5; Inf]} => {labels=smurf.}" 0.573777777777778 1 0.573777777777778 1.74047573003288 10328 1 1 10328 1
"3084" "{service=b'ecr_i',src_bytes=(1030;1036]} => {labels=smurf.}" 0.466611111111111 1 0.466611111111111 1.74047573003288 8399 2 1 12 1
"2895" "{src_bytes=[-Inf;0.5],diff_srv_rate=(0.035;0.185]} => {labels=neptune.}" 0.214 1 0.214 4.63320463320463 3852 2 1 3852 1
"2503" "{flag=b'S0',dst_host_serror_rate=(0.975; Inf]} => {labels=neptune.}" 0.175055555555556 1 0.175055555555556 4.63320463320463 3151 2 1 33 1
"46659" "{service=b'http',hot=[-Inf;0.5],dst_host_same_srv_rate=(0.995; Inf]} => {labels=normal.}" 0.114611111111111 1 0.114611111111111 5.19780537106555 2063 3 1 2063 1
"46689" "{service=b'http',flag=b'SF',num_compromised=[-Inf;0.5]} => {labels=normal.}" 0.109166666666667 1 0.109166666666667 5.19780537106555 1965 3 1 84 1
"57" "{=(397021;449781.5]} => {labels=smurf.}" 0.107944444444444 1 0.107944444444444 1.74047573003288 1943 1 1 2 1
"2467" "{src_bytes=(28.5;333.5],dst_host_srv_count=(254.5; Inf]} => {labels=normal.}" 0.0932222222222222 1 0.0932222222222222 5.19780537106555 1678 2 1 39 1
"45746" "{src_bytes=(28.5;333.5],dst_bytes=(2;2189.5],num_failed_logins=0} => {labels=normal.}" 0.0895 1 0.0895 5.19780537106555 1611 3 1 537 1
"45844" "{protocol_type=b'tcp',dst_bytes=(2;2189.5],num_failed_logins=0} => {labels=normal.}" 0.0845 1 0.0845 5.19780537106555 1521 3 1 366 1
"38382" "{wrong_fragment=[-Inf;0.5],diff_srv_rate=[-Inf;0.005],dst_host_srv_diff_host_rate=(0.005;0.065]} => {labels=normal.}" 0.0819444444444444 1 0.0819444444444444 5.19780537106555 1475 3 1 89 1
"38476" "{wrong_fragment=[-Inf;0.5],serror_rate=[-Inf;0.005],dst_host_srv_diff_host_rate=(0.005;0.065]} => {labels=normal.}" 0.0818888888888889 1 0.0818888888888889 5.19780537106555 1474 3 1 6 1
"48252" "{src_bytes=(28.5;333.5],num_failed_logins=0,dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0797777777777778 1 0.0797777777777778 5.19780537106555 1436 3 1 189 1
"42201" "{hot=[-Inf;0.5],logged_in=1,dst_host_count=(13.5;254.5]} => {labels=normal.}" 0.0755 1 0.0755 5.19780537106555 1359 3 1 37 1
"40215" "{hot=[-Inf;0.5],logged_in=1,dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0716666666666667 1 0.0716666666666667 5.19780537106555 1290 3 1 3 1
"42196" "{logged_in=1,dst_host_count=(13.5;254.5],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.071 1 0.071 5.19780537106555 1278 3 1 2 1
"40256" "{src_bytes=(28.5;333.5],num_failed_logins=0,dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0622777777777778 1 0.0622777777777778 5.19780537106555 1121 3 1 3 1
"40367" "{hot=[-Inf;0.5],dst_host_same_srv_rate=(0.995; Inf],dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0613888888888889 1 0.0613888888888889 5.19780537106555 1105 3 1 1 1
"42240" "{src_bytes=(28.5;333.5],num_failed_logins=0,dst_host_count=(13.5;254.5]} => {labels=normal.}" 0.0579444444444444 1 0.0579444444444444 5.19780537106555 1043 3 1 3 1
"46036" "{dst_bytes=(2;2189.5],dst_host_count=(254.5; Inf],dst_host_serror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0549444444444444 1 0.0549444444444444 5.19780537106555 989 3 1 2 1
"34865" "{=(11455;39723.5],flag=b'SF',wrong_fragment=[-Inf;0.5]} => {labels=normal.}" 0.0542222222222222 1 0.0542222222222222 5.19780537106555 976 3 1 2 1
"42141" "{dst_bytes=(2;2189.5],num_failed_logins=0,dst_host_count=(13.5;254.5]} => {labels=normal.}" 0.0511111111111111 1 0.0511111111111111 5.19780537106555 920 3 1 4 1
"33692" "{logged_in=1,num_compromised=[-Inf;0.5],count=(6.5;22.5]} => {labels=normal.}" 0.0495 1 0.0495 5.19780537106555 891 3 1 2 1
