"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"40837" "{CIRCULARITY=(40.5;49.5],RADIUS RATIO=[-Inf;175.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SKEWNESS ABOUT_MAJOR=(64.5;76.5]} => {Class=van}" 0.0814717477003942 1 0.0814717477003942 4.25139664804469 62 4 1 62 1
"40840" "{CIRCULARITY=(40.5;49.5],RADIUS RATIO=[-Inf;175.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SKEWNESS ABOUT_MINOR=[-Inf;11.5]} => {Class=van}" 0.0801576872536137 1 0.0801576872536137 4.25139664804469 61 4 1 11 1
"7211" "{MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=(165.5;180.5],SKEWNESS ABOUT_MAJOR=(64.5;76.5]} => {Class=van}" 0.0775295663600526 1 0.0775295663600526 4.25139664804469 59 3 1 5 1
"22614" "{CIRCULARITY=(40.5;49.5],SKEWNESS ABOUT_MAJOR=(76.5; Inf],SKEWNESS ABOUT_MINOR=[-Inf;11.5],KURTOSIS ABOUT_MINOR=(177.5;181.5]} => {Class=bus}" 0.0735873850197109 1 0.0735873850197109 3.88265306122449 56 4 1 56 1
"39756" "{DISTANCE CIRCULARITY=(76.5;91.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=(165.5;180.5],KURTOSIS ABOUT_MAJOR=[-Inf;17.5]} => {Class=van}" 0.0722733245729304 1 0.0722733245729304 4.25139664804469 55 4 1 1 1
"26906" "{CIRCULARITY=(40.5;49.5],ELONGATEDNESS=(44.5;46.5],SCALED VARIANCE_MAJOR=(165.5;180.5],SKEWNESS ABOUT_MAJOR=(76.5; Inf]} => {Class=bus}" 0.0683311432325887 1 0.0683311432325887 3.88265306122449 52 4 1 4 1
"7142" "{RADIUS RATIO=[-Inf;175.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED RADIUS OF GYRATION=(169.5;192.5]} => {Class=van}" 0.0657030223390276 1 0.0657030223390276 4.25139664804469 50 3 1 1 1
"246" "{PR.AXIS ASPECT RATIO=(68.5;86],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.0604467805519054 1 0.0604467805519054 3.88265306122449 46 2 1 44 1
"2469" "{RADIUS RATIO=(175.5;236],PR.AXIS ASPECT RATIO=(68.5;86],KURTOSIS ABOUT_MINOR=(191.5; Inf]} => {Class=bus}" 0.0473061760840999 1 0.0473061760840999 3.88265306122449 36 3 1 1 1
"7166" "{MAX.LENGTH ASPECT RATIO=(8.5;16],PR.AXIS RECTANGULARITY=(18.5;19.5],HOLLOWS RATIO=(191.5; Inf]} => {Class=van}" 0.0433639947437582 1 0.0433639947437582 4.25139664804469 33 3 1 2 1
"254" "{SCATTER RATIO=(154.5;163.5],KURTOSIS ABOUT_MINOR=(181.5;184.5]} => {Class=van}" 0.038107752956636 1 0.038107752956636 4.25139664804469 29 2 1 2 1
"791" "{DISTANCE CIRCULARITY=(91.5; Inf],HOLLOWS RATIO=[-Inf;191.5]} => {Class=bus}" 0.038107752956636 1 0.038107752956636 3.88265306122449 29 2 1 27 1
"805" "{DISTANCE CIRCULARITY=(91.5; Inf],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.038107752956636 1 0.038107752956636 3.88265306122449 29 2 1 1 1
"17352" "{COMPACTNESS=(87.5;98.5],SKEWNESS ABOUT_MINOR=[-Inf;11.5],KURTOSIS ABOUT_MAJOR=[-Inf;17.5],KURTOSIS ABOUT_MINOR=(181.5;184.5]} => {Class=van}" 0.038107752956636 1 0.038107752956636 4.25139664804469 29 4 1 5 1
"30856" "{DISTANCE CIRCULARITY=(76.5;91.5],ELONGATEDNESS=(41.5;44.5],MAX.LENGTH RECTANGULARITY=(147.5;161.5],SKEWNESS ABOUT_MINOR=[-Inf;11.5]} => {Class=van}" 0.038107752956636 1 0.038107752956636 4.25139664804469 29 4 1 1 1
"17323" "{COMPACTNESS=(87.5;98.5],CIRCULARITY=(40.5;49.5],SKEWNESS ABOUT_MINOR=[-Inf;11.5],KURTOSIS ABOUT_MINOR=(181.5;184.5]} => {Class=van}" 0.0341655716162943 1 0.0341655716162943 4.25139664804469 26 4 1 1 1
"798" "{RADIUS RATIO=(175.5;236],HOLLOWS RATIO=[-Inf;191.5]} => {Class=bus}" 0.0328515111695138 1 0.0328515111695138 3.88265306122449 25 2 1 4 1
"434" "{COMPACTNESS=(103.5; Inf],HOLLOWS RATIO=[-Inf;191.5]} => {Class=bus}" 0.0315374507227332 1 0.0315374507227332 3.88265306122449 24 2 1 1 1
"8580" "{DISTANCE CIRCULARITY=(59.5;76.5],RADIUS RATIO=(175.5;236],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.0315374507227332 1 0.0315374507227332 3.88265306122449 24 3 1 4 1
"6569" "{DISTANCE CIRCULARITY=(76.5;91.5],PR.AXIS RECTANGULARITY=(18.5;19.5],MAX.LENGTH RECTANGULARITY=(147.5;161.5]} => {Class=van}" 0.0302233902759527 1 0.0302233902759527 4.25139664804469 23 3 1 3 1
"89" "{MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MINOR=(721.5;766.5]} => {Class=opel}" 0.0289093298291721 1 0.0289093298291721 3.98429319371728 22 2 1 22 1
"7253" "{RADIUS RATIO=[-Inf;175.5],MAX.LENGTH ASPECT RATIO=(8.5;16],MAX.LENGTH RECTANGULARITY=(135.5;147.5]} => {Class=van}" 0.0289093298291721 1 0.0289093298291721 4.25139664804469 22 3 1 1 1
"6883" "{RADIUS RATIO=(175.5;236],MAX.LENGTH ASPECT RATIO=[-Inf;7.5],SKEWNESS ABOUT_MAJOR=(76.5; Inf]} => {Class=bus}" 0.0275952693823916 1 0.0275952693823916 3.88265306122449 21 3 1 1 1
"32960" "{COMPACTNESS=(87.5;98.5],SCATTER RATIO=[-Inf;140.5],MAX.LENGTH RECTANGULARITY=(135.5;147.5],HOLLOWS RATIO=[-Inf;191.5]} => {Class=van}" 0.0275952693823916 1 0.0275952693823916 4.25139664804469 21 4 1 14 1
"33026" "{CIRCULARITY=[-Inf;40.5],SCATTER RATIO=[-Inf;140.5],MAX.LENGTH RECTANGULARITY=(135.5;147.5],SKEWNESS ABOUT_MINOR=[-Inf;11.5]} => {Class=van}" 0.0275952693823916 1 0.0275952693823916 4.25139664804469 21 4 1 11 1
"314" "{COMPACTNESS=(98.5;103.5],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.026281208935611 1 0.026281208935611 3.88265306122449 20 2 1 5 1
"732" "{SCALED RADIUS OF GYRATION=(192.5;241.5],HOLLOWS RATIO=[-Inf;191.5]} => {Class=bus}" 0.026281208935611 1 0.026281208935611 3.88265306122449 20 2 1 2 1
"6482" "{MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=[-Inf;165.5],KURTOSIS ABOUT_MAJOR=[-Inf;17.5]} => {Class=van}" 0.0236530880420499 1 0.0236530880420499 4.25139664804469 18 3 1 3 1
"1674" "{CIRCULARITY=(54.5; Inf],MAX.LENGTH RECTANGULARITY=(174.5; Inf],KURTOSIS ABOUT_MAJOR=[-Inf;17.5]} => {Class=opel}" 0.0223390275952694 1 0.0223390275952694 3.98429319371728 17 3 1 7 1
"4322" "{MAX.LENGTH ASPECT RATIO=(7.5;8.5],SCALED RADIUS OF GYRATION=(169.5;192.5],HOLLOWS RATIO=[-Inf;191.5]} => {Class=bus}" 0.0223390275952694 1 0.0223390275952694 3.88265306122449 17 3 1 2 1
"5773" "{SCATTER RATIO=[-Inf;140.5],MAX.LENGTH RECTANGULARITY=(135.5;147.5],KURTOSIS ABOUT_MINOR=(184.5;191.5]} => {Class=van}" 0.0223390275952694 1 0.0223390275952694 4.25139664804469 17 3 1 3 1
"6552" "{DISTANCE CIRCULARITY=(76.5;91.5],MAX.LENGTH RECTANGULARITY=(147.5;161.5],SCALED VARIANCE_MINOR=(298.5;350.5]} => {Class=van}" 0.0223390275952694 1 0.0223390275952694 4.25139664804469 17 3 1 1 1
"48051" "{RADIUS RATIO=(175.5;236],MAX.LENGTH ASPECT RATIO=[-Inf;7.5],SCALED RADIUS OF GYRATION=[-Inf;169.5],KURTOSIS ABOUT_MAJOR=[-Inf;17.5]} => {Class=bus}" 0.0223390275952694 1 0.0223390275952694 3.88265306122449 17 4 1 1 1
"176" "{PR.AXIS ASPECT RATIO=[-Inf;52.5],SCATTER RATIO=[-Inf;140.5]} => {Class=van}" 0.0210249671484888 1 0.0210249671484888 4.25139664804469 16 2 1 3 1
"24062" "{COMPACTNESS=(87.5;98.5],CIRCULARITY=[-Inf;40.5],MAX.LENGTH ASPECT RATIO=(7.5;8.5],SCATTER RATIO=[-Inf;140.5]} => {Class=van}" 0.0210249671484888 1 0.0210249671484888 4.25139664804469 16 4 1 6 1
"5721" "{SCATTER RATIO=[-Inf;140.5],MAX.LENGTH RECTANGULARITY=(135.5;147.5],SKEWNESS ABOUT_MAJOR=(76.5; Inf]} => {Class=van}" 0.0197109067017083 1 0.0197109067017083 4.25139664804469 15 3 1 1 1
"6546" "{MAX.LENGTH ASPECT RATIO=[-Inf;7.5],MAX.LENGTH RECTANGULARITY=(147.5;161.5],SKEWNESS ABOUT_MAJOR=(76.5; Inf]} => {Class=bus}" 0.0197109067017083 1 0.0197109067017083 3.88265306122449 15 3 1 1 1
"25466" "{COMPACTNESS=(103.5; Inf],CIRCULARITY=(49.5;54.5],SKEWNESS ABOUT_MINOR=(11.5; Inf],KURTOSIS ABOUT_MAJOR=(17.5; Inf]} => {Class=saab}" 0.0183968462549277 1 0.0183968462549277 3.9025641025641 14 4 1 14 1
