"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"48965" "{attribute_12=[-Inf;0.22505],attribute_21=[-Inf;0.6496],attribute_49=[-Inf;0.0594]} => {Class=Rock}" 0.219251336898396 1 0.219251336898396 2.14942528735632 41 3 1 41 1
"40606" "{attribute_4=[-Inf;0.052],attribute_11=[-Inf;0.1707],attribute_20=[-Inf;0.4977]} => {Class=Rock}" 0.20855614973262 1 0.20855614973262 2.14942528735632 39 3 1 7 1
"40782" "{attribute_11=[-Inf;0.1707],attribute_21=[-Inf;0.6496],attribute_49=[-Inf;0.0594]} => {Class=Rock}" 0.20855614973262 1 0.20855614973262 2.14942528735632 39 3 1 1 1
"46964" "{attribute_21=[-Inf;0.6496],attribute_37=(0.38475; Inf],attribute_49=[-Inf;0.0594]} => {Class=Rock}" 0.165775401069519 1 0.165775401069519 2.14942528735632 31 3 1 5 1
"43407" "{attribute_4=(0.052; Inf],attribute_36=[-Inf;0.5047],attribute_46=(0.09145; Inf]} => {Class=Mine}" 0.160427807486631 1 0.160427807486631 1.87 30 3 1 30 1
"46713" "{attribute_12=[-Inf;0.22505],attribute_20=[-Inf;0.4977],attribute_37=(0.38475; Inf]} => {Class=Rock}" 0.160427807486631 1 0.160427807486631 2.14942528735632 30 3 1 5 1
"20768" "{attribute_20=[-Inf;0.4977],attribute_49=[-Inf;0.0594],attribute_52=[-Inf;0.00765]} => {Class=Rock}" 0.144385026737968 1 0.144385026737968 2.14942528735632 27 3 1 1 1
"15943" "{attribute_9=(0.1164; Inf],attribute_28=(0.9233; Inf],attribute_52=(0.00765; Inf]} => {Class=Mine}" 0.13903743315508 1 0.13903743315508 1.87 26 3 1 22 1
"23774" "{attribute_35=[-Inf;0.19455],attribute_48=(0.07585; Inf],attribute_51=(0.01245; Inf]} => {Class=Mine}" 0.13903743315508 1 0.13903743315508 1.87 26 3 1 6 1
"25589" "{attribute_13=[-Inf;0.2059],attribute_36=(0.5047; Inf],attribute_45=[-Inf;0.38545]} => {Class=Rock}" 0.13903743315508 1 0.13903743315508 2.14942528735632 26 3 1 4 1
"42980" "{attribute_4=(0.052; Inf],attribute_37=[-Inf;0.38475],attribute_48=(0.07585; Inf]} => {Class=Mine}" 0.13903743315508 1 0.13903743315508 1.87 26 3 1 4 1
"339" "{attribute_9=(0.1164; Inf],attribute_45=(0.38545; Inf]} => {Class=Mine}" 0.133689839572193 1 0.133689839572193 1.87 25 2 1 11 1
"15582" "{attribute_12=(0.22505; Inf],attribute_28=(0.9233; Inf],attribute_37=[-Inf;0.38475]} => {Class=Mine}" 0.133689839572193 1 0.133689839572193 1.87 25 3 1 1 1
"25520" "{attribute_9=[-Inf;0.1164],attribute_36=(0.5047; Inf],attribute_45=[-Inf;0.38545]} => {Class=Rock}" 0.133689839572193 1 0.133689839572193 2.14942528735632 25 3 1 2 1
