"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"11491" "{surgery=no,pain=alert no pain,outcome=lived} => {surgical_lesion=no}" 0.0963855421686747 1 0.0963855421686747 2.69918699186992 32 3 1 32 1
"21408" "{surgery=yes,peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}" 0.0903614457831325 1 0.0903614457831325 1.58851674641148 30 3 1 30 1
"21411" "{Age=adult,peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}" 0.0903614457831325 1 0.0903614457831325 1.58851674641148 30 3 1 6 1
"25280" "{surgery=yes,pulse=(58; Inf],peripheral_pulse=normal} => {surgical_lesion=yes}" 0.0903614457831325 1 0.0903614457831325 1.58851674641148 30 3 1 25 1
"25269" "{surgery=yes,respiratory_rate=(29; Inf],peripheral_pulse=normal} => {surgical_lesion=yes}" 0.0843373493975904 1 0.0843373493975904 1.58851674641148 28 3 1 8 1
"21447" "{surgery=yes,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}" 0.0813253012048193 1 0.0813253012048193 1.58851674641148 27 3 1 9 1
"13688" "{surgery=yes,respiratory_rate=(29; Inf],abdomen=distended small intestine} => {surgical_lesion=yes}" 0.0783132530120482 1 0.0783132530120482 1.58851674641148 26 3 1 11 1
"13496" "{surgery=yes,rectal_examination=absent,abdomen=distended small intestine} => {surgical_lesion=yes}" 0.0753012048192771 1 0.0753012048192771 1.58851674641148 25 3 1 4 1
"13690" "{pulse=(58; Inf],respiratory_rate=(29; Inf],abdomen=distended small intestine} => {surgical_lesion=yes}" 0.0753012048192771 1 0.0753012048192771 1.58851674641148 25 3 1 3 1
"19951" "{Age=adult,abdominal_distension=moderate,outcome=died} => {surgical_lesion=yes}" 0.072289156626506 1 0.072289156626506 1.58851674641148 24 3 1 1 1
"22860" "{surgery=yes,nasogastric_tube=slight,rectal_examination=absent} => {surgical_lesion=yes}" 0.072289156626506 1 0.072289156626506 1.58851674641148 24 3 1 4 1
"1689" "{nasogastric_tube=slight,outcome=died} => {surgical_lesion=yes}" 0.0692771084337349 1 0.0692771084337349 1.58851674641148 23 2 1 1 1
"13698" "{surgery=yes,abdomen=distended small intestine,outcome=lived} => {surgical_lesion=yes}" 0.0692771084337349 1 0.0692771084337349 1.58851674641148 23 3 1 3 1
"15817" "{pulse=(58; Inf],peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0692771084337349 1 0.0692771084337349 1.58851674641148 23 3 1 2 1
"17804" "{surgery=yes,respiratory_rate=(29; Inf],mucous_membranes=pale pink} => {surgical_lesion=yes}" 0.0692771084337349 1 0.0692771084337349 1.58851674641148 23 3 1 8 1
"21952" "{surgery=yes,nasogastric_tube=slight,abdomen=distended large intestine} => {surgical_lesion=yes}" 0.0692771084337349 1 0.0692771084337349 1.58851674641148 23 3 1 7 1
"15815" "{surgery=yes,peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0662650602409639 1 0.0662650602409639 1.58851674641148 22 3 1 2 1
"12958" "{surgery=yes,peripheral_pulse=reduced,pain=continuous severe pain} => {surgical_lesion=yes}" 0.0632530120481928 1 0.0632530120481928 1.58851674641148 21 3 1 7 1
"22809" "{surgery=yes,pulse=(58; Inf],abdominal_distension=none} => {surgical_lesion=yes}" 0.0632530120481928 1 0.0632530120481928 1.58851674641148 21 3 1 4 1
"12957" "{respiratory_rate=(29; Inf],peripheral_pulse=reduced,pain=continuous severe pain} => {surgical_lesion=yes}" 0.0602409638554217 1 0.0602409638554217 1.58851674641148 20 3 1 4 1
"18259" "{surgery=no,pulse=[-Inf;58],abdominal_distension=slight} => {surgical_lesion=no}" 0.0602409638554217 1 0.0602409638554217 2.69918699186992 20 3 1 12 1
"22798" "{surgery=yes,respiratory_rate=(29; Inf],abdominal_distension=none} => {surgical_lesion=yes}" 0.0602409638554217 1 0.0602409638554217 1.58851674641148 20 3 1 2 1
