"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"8202" "{CIRCULARITY=(40.5;49.5],RADIUS RATIO=[-Inf;170.5],MAX.LENGTH ASPECT RATIO=(8.5;16]} => {Class=van}" 0.089238845144357 1 0.089238845144357 4.25698324022346 68 3 1 68 1
"45605" "{CIRCULARITY=(40.5;49.5],DISTANCE CIRCULARITY=(76.5;92.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=(163.5;180.5]} => {Class=van}" 0.0813648293963255 1 0.0813648293963255 4.25698324022346 62 4 1 6 1
"45607" "{DISTANCE CIRCULARITY=(76.5;92.5],RADIUS RATIO=[-Inf;170.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED VARIANCE_MAJOR=(163.5;180.5]} => {Class=van}" 0.0813648293963255 1 0.0813648293963255 4.25698324022346 62 4 1 6 1
"49609" "{DISTANCE CIRCULARITY=(64.5;76.5],SCATTER RATIO=(140.5;154.5],SCALED RADIUS OF GYRATION=(170.5;192.5],HOLLOWS RATIO=[-Inf;191.5]} => {Class=bus}" 0.0721784776902887 1 0.0721784776902887 3.88775510204082 55 4 1 55 1
"4012" "{CIRCULARITY=(40.5;49.5],SCALED VARIANCE_MINOR=(298.5;347.5],KURTOSIS ABOUT_MINOR=(177.5;181.5]} => {Class=bus}" 0.068241469816273 1 0.068241469816273 3.88775510204082 52 3 1 12 1
"49618" "{DISTANCE CIRCULARITY=(64.5;76.5],SCATTER RATIO=(140.5;154.5],SCALED RADIUS OF GYRATION=(170.5;192.5],SKEWNESS ABOUT_MAJOR=(74.5; Inf]} => {Class=bus}" 0.0669291338582677 1 0.0669291338582677 3.88775510204082 51 4 1 1 1
"319" "{PR.AXIS ASPECT RATIO=(68.5;86.5],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.062992125984252 1 0.062992125984252 3.88775510204082 48 2 1 44 1
"4842" "{COMPACTNESS=(87.5;98.5],ELONGATEDNESS=(41.5;44.5],KURTOSIS ABOUT_MINOR=(181.5;185.5]} => {Class=van}" 0.0511811023622047 1 0.0511811023622047 4.25698324022346 39 3 1 3 1
"35072" "{COMPACTNESS=(82.5;87.5],CIRCULARITY=(40.5;49.5],DISTANCE CIRCULARITY=(64.5;76.5],SKEWNESS ABOUT_MAJOR=(74.5; Inf]} => {Class=bus}" 0.0511811023622047 1 0.0511811023622047 3.88775510204082 39 4 1 6 1
"3209" "{RADIUS RATIO=(170.5;209.5],PR.AXIS ASPECT RATIO=(68.5;86.5],KURTOSIS ABOUT_MINOR=(191.5; Inf]} => {Class=bus}" 0.0485564304461942 1 0.0485564304461942 3.88775510204082 37 3 1 2 1
"29369" "{COMPACTNESS=(87.5;98.5],CIRCULARITY=(40.5;49.5],SKEWNESS ABOUT_MINOR=[-Inf;11.5],KURTOSIS ABOUT_MINOR=(181.5;185.5]} => {Class=van}" 0.0485564304461942 1 0.0485564304461942 4.25698324022346 37 4 1 4 1
