"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"42121" "{CIRCULARITY=(40.5;49.5],RADIUS RATIO=[-Inf;175.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SKEWNESS ABOUT_MAJOR=(64.5;76.5]} => {Class=van}" 0.0890052356020942 1 0.0890052356020942 4.24444444444444 68 4 1 68 1
"7361" "{MAX.LENGTH ASPECT RATIO=(8.5;16],ELONGATEDNESS=(41.5;46.5],SKEWNESS ABOUT_MAJOR=(64.5;76.5]} => {Class=van}" 0.087696335078534 1 0.087696335078534 4.24444444444444 67 3 1 6 1
"40712" "{CIRCULARITY=(40.5;49.5],DISTANCE CIRCULARITY=(76.5;92.5],MAX.LENGTH ASPECT RATIO=(8.5;16],ELONGATEDNESS=(41.5;46.5]} => {Class=van}" 0.087696335078534 1 0.087696335078534 4.24444444444444 67 4 1 9 1
"40716" "{DISTANCE CIRCULARITY=(76.5;92.5],MAX.LENGTH ASPECT RATIO=(8.5;16],ELONGATEDNESS=(41.5;46.5],KURTOSIS ABOUT_MAJOR=[-Inf;17.5]} => {Class=van}" 0.0837696335078534 1 0.0837696335078534 4.24444444444444 64 4 1 2 1
"42123" "{CIRCULARITY=(40.5;49.5],RADIUS RATIO=[-Inf;175.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SKEWNESS ABOUT_MINOR=[-Inf;9.5]} => {Class=van}" 0.0772251308900524 1 0.0772251308900524 4.24444444444444 59 4 1 1 1
"305" "{PR.AXIS ASPECT RATIO=(68.5;86.5],MAX.LENGTH ASPECT RATIO=[-Inf;7.5]} => {Class=bus}" 0.0693717277486911 1 0.0693717277486911 3.87817258883249 53 2 1 53 1
"7218" "{RADIUS RATIO=[-Inf;175.5],MAX.LENGTH ASPECT RATIO=(8.5;16],SCALED RADIUS OF GYRATION=(169.5;192.5]} => {Class=van}" 0.0693717277486911 1 0.0693717277486911 4.24444444444444 53 3 1 2 1
"4186" "{CIRCULARITY=(40.5;49.5],SCALED VARIANCE_MAJOR=(165.5;180.5],KURTOSIS ABOUT_MINOR=(177.5;181.5]} => {Class=bus}" 0.0680628272251309 1 0.0680628272251309 3.87817258883249 52 3 1 50 1
"24353" "{CIRCULARITY=(40.5;49.5],SCALED VARIANCE_MINOR=(298.5;347.5],SKEWNESS ABOUT_MINOR=[-Inf;9.5],KURTOSIS ABOUT_MINOR=(177.5;181.5]} => {Class=bus}" 0.0680628272251309 1 0.0680628272251309 3.87817258883249 52 4 1 3 1
"22135" "{DISTANCE CIRCULARITY=(76.5;92.5],SCATTER RATIO=(154.5;163.5],ELONGATEDNESS=(41.5;46.5],MAX.LENGTH RECTANGULARITY=(148.5;171.5]} => {Class=van}" 0.0602094240837696 1 0.0602094240837696 4.24444444444444 46 4 1 3 1
