"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"14138" "{X5=[-Inf;-0.153846],X7=[-Inf;-0.916667],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.159677419354839 1 0.159677419354839 1.80232558139535 99 4 1 99 1
"14134" "{X3=[-Inf;-0.6994645],X5=[-Inf;-0.153846],X7=[-Inf;-0.916667],X8=-1} => {Y=-1}" 0.129032258064516 1 0.129032258064516 1.80232558139535 80 4 1 9 1
"1414" "{X1=1,X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.117741935483871 1 0.117741935483871 2.2463768115942 73 3 1 73 1
"14130" "{X2=[-Inf;-0.181654],X5=[-Inf;-0.153846],X8=-1,X11=-1} => {Y=-1}" 0.114516129032258 1 0.114516129032258 1.80232558139535 71 4 1 9 1
"2288" "{X1=-1,X5=[-Inf;-0.153846],X8=-1} => {Y=-1}" 0.0838709677419355 1 0.0838709677419355 1.80232558139535 52 3 1 9 1
"8361" "{X8=1,X9=1,X13=(-0.9005; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.082258064516129 1 0.082258064516129 2.2463768115942 51 4 1 11 1
"8542" "{X2=[-Inf;-0.181654],X8=1,X13=(-0.9005; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.082258064516129 1 0.082258064516129 2.2463768115942 51 4 1 3 1
"1365" "{X5=(-0.153846;0.4615385],X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.0758064516129032 1 0.0758064516129032 2.2463768115942 47 3 1 10 1
"15954" "{X2=[-Inf;-0.181654],X8=-1,X9=1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.0758064516129032 1 0.0758064516129032 1.80232558139535 47 4 1 28 1
"14876" "{X3=(-0.6994645; Inf],X7=[-Inf;-0.916667],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.0725806451612903 1 0.0725806451612903 1.80232558139535 45 4 1 13 1
"12517" "{X4=(-0.5; Inf],X8=1,X11=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0709677419354839 1 0.0709677419354839 2.2463768115942 44 4 1 31 1
"8359" "{X3=[-Inf;-0.6994645],X8=1,X9=1,X14=(-0.99016; Inf]} => {Y=1}" 0.0693548387096774 1 0.0693548387096774 2.2463768115942 43 4 1 2 1
"10766" "{X4=[-Inf;-0.5],X7=[-Inf;-0.916667],X8=-1,X11=-1} => {Y=-1}" 0.0661290322580645 1 0.0661290322580645 1.80232558139535 41 4 1 16 1
"10769" "{X3=[-Inf;-0.6994645],X4=[-Inf;-0.5],X8=-1,X11=-1} => {Y=-1}" 0.0645161290322581 1 0.0645161290322581 1.80232558139535 40 4 1 4 1
"11092" "{X1=1,X8=1,X10=(-0.9253735; Inf],X13=[-Inf;-0.9005]} => {Y=1}" 0.0645161290322581 1 0.0645161290322581 2.2463768115942 40 4 1 11 1
"10770" "{X1=1,X4=[-Inf;-0.5],X8=-1,X11=-1} => {Y=-1}" 0.0612903225806452 1 0.0612903225806452 1.80232558139535 38 4 1 3 1
"11404" "{X1=1,X3=(-0.6994645; Inf],X6=[-Inf;0.625],X10=(-0.9253735; Inf]} => {Y=1}" 0.0612903225806452 1 0.0612903225806452 2.2463768115942 38 4 1 8 1
"12268" "{X5=(-0.153846;0.4615385],X8=1,X9=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0612903225806452 1 0.0612903225806452 2.2463768115942 38 4 1 4 1
"12301" "{X4=(-0.5; Inf],X5=(-0.153846;0.4615385],X8=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0612903225806452 1 0.0612903225806452 2.2463768115942 38 4 1 3 1
"13769" "{X3=(-0.6994645; Inf],X5=[-Inf;-0.153846],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}" 0.0612903225806452 1 0.0612903225806452 1.80232558139535 38 4 1 3 1
"11610" "{X1=1,X7=(-0.916667; Inf],X10=(-0.9253735; Inf],X11=-1} => {Y=1}" 0.0596774193548387 1 0.0596774193548387 2.2463768115942 37 4 1 5 1
"977" "{X6=(0.625; Inf],X8=1,X14=(-0.99016; Inf]} => {Y=1}" 0.0580645161290323 1 0.0580645161290323 2.2463768115942 36 3 1 6 1
"12094" "{X5=[-Inf;-0.153846],X8=-1,X13=[-Inf;-0.9005],X14=[-Inf;-0.99016]} => {Y=-1}" 0.0580645161290323 1 0.0580645161290323 1.80232558139535 36 4 1 1 1
"6620" "{X4=(-0.5; Inf],X6=(0.625; Inf],X8=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0548387096774194 1 0.0548387096774194 2.2463768115942 34 4 1 3 1
"5157" "{X2=(-0.181654; Inf],X8=1,X9=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0532258064516129 1 0.0532258064516129 2.2463768115942 33 4 1 2 1
"11094" "{X8=1,X10=(-0.9253735; Inf],X13=[-Inf;-0.9005],X14=[-Inf;-0.99016]} => {Y=1}" 0.0516129032258065 1 0.0516129032258065 2.2463768115942 32 4 1 4 1
"11338" "{X3=(-0.6994645; Inf],X5=(-0.153846;0.4615385],X7=(-0.916667; Inf],X10=(-0.9253735; Inf]} => {Y=1}" 0.05 1 0.05 2.2463768115942 31 4 1 1 1
"15942" "{X1=1,X2=[-Inf;-0.181654],X8=-1,X9=1} => {Y=-1}" 0.0483870967741935 1 0.0483870967741935 1.80232558139535 30 4 1 4 1
"8500" "{X8=1,X11=-1,X13=(-0.9005; Inf],X14=(-0.99016; Inf]} => {Y=1}" 0.0451612903225806 1 0.0451612903225806 2.2463768115942 28 4 1 1 1
