"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"82" "{srv_count=(336; Inf]} => {labels=smurf.}" 0.573777777777778 1 0.573777777777778 1.74047573003288 10328 1 1 10328 1
"3138" "{service=b'ecr_i',src_bytes=(1030;1035]} => {labels=smurf.}" 0.466888888888889 1 0.466888888888889 1.74047573003288 8404 2 1 12 1
"2950" "{src_bytes=[-Inf;0.5],diff_srv_rate=(0.035;0.185]} => {labels=neptune.}" 0.214055555555556 1 0.214055555555556 4.63320463320463 3853 2 1 3853 1
"2560" "{flag=b'S0',dst_host_serror_rate=(0.97; Inf]} => {labels=neptune.}" 0.175 1 0.175 4.63320463320463 3150 2 1 32 1
"2516" "{src_bytes=(28.5;333.5],num_failed_logins=0} => {labels=normal.}" 0.144333333333333 1 0.144333333333333 5.19780537106555 2598 2 1 2598 1
"47461" "{service=b'http',hot=[-Inf;0.5],dst_host_same_srv_rate=(0.995; Inf]} => {labels=normal.}" 0.115722222222222 1 0.115722222222222 5.19780537106555 2083 3 1 351 1
"47491" "{service=b'http',flag=b'SF',num_compromised=[-Inf;0.5]} => {labels=normal.}" 0.110833333333333 1 0.110833333333333 5.19780537106555 1995 3 1 2 1
"59" "{=(397021;449817.5]} => {labels=smurf.}" 0.107666666666667 1 0.107666666666667 1.74047573003288 1938 1 1 2 1
"46654" "{protocol_type=b'tcp',dst_bytes=(2;2189.5],num_failed_logins=0} => {labels=normal.}" 0.0856666666666667 1 0.0856666666666667 5.19780537106555 1542 3 1 374 1
"39181" "{wrong_fragment=[-Inf;0.5],diff_srv_rate=[-Inf;0.005],dst_host_srv_diff_host_rate=(0.005;0.065]} => {labels=normal.}" 0.0827222222222222 1 0.0827222222222222 5.19780537106555 1489 3 1 56 1
"39275" "{wrong_fragment=[-Inf;0.5],serror_rate=[-Inf;0.005],dst_host_srv_diff_host_rate=(0.005;0.065]} => {labels=normal.}" 0.0826666666666667 1 0.0826666666666667 5.19780537106555 1488 3 1 2 1
"42318" "{hot=[-Inf;0.5],logged_in=1,dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0728333333333333 1 0.0728333333333333 5.19780537106555 1311 3 1 6 1
"42313" "{logged_in=1,dst_host_same_src_port_rate=(0.005;0.125],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0691111111111111 1 0.0691111111111111 5.19780537106555 1244 3 1 2 1
"42436" "{hot=[-Inf;0.5],dst_host_same_srv_rate=(0.995; Inf],dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0616666666666667 1 0.0616666666666667 5.19780537106555 1110 3 1 1 1
"36484" "{=(11455;39723.5],flag=b'SF',wrong_fragment=[-Inf;0.5]} => {labels=normal.}" 0.0553888888888889 1 0.0553888888888889 5.19780537106555 997 3 1 10 1
"44168" "{dst_bytes=(2;2189.5],num_failed_logins=0,dst_host_count=(9.5;254.5]} => {labels=normal.}" 0.0542222222222222 1 0.0542222222222222 5.19780537106555 976 3 1 4 1
"35345" "{logged_in=1,num_compromised=[-Inf;0.5],count=(6.5;22.5]} => {labels=normal.}" 0.0504444444444444 1 0.0504444444444444 5.19780537106555 908 3 1 11 1
"34" "{srv_diff_host_rate=(0.005;0.285]} => {labels=normal.}" 0.0374444444444444 1 0.0374444444444444 5.19780537106555 674 1 1 3 1
"41023" "{hot=[-Inf;0.5],logged_in=1,srv_count=(2.5;7.5]} => {labels=normal.}" 0.0329444444444444 1 0.0329444444444444 5.19780537106555 593 3 1 3 1
"1064" "{flag=b'SF',dst_bytes=(2453;8299]} => {labels=normal.}" 0.0285 1 0.0285 5.19780537106555 513 2 1 1 1
"35188" "{count=(6.5;22.5],dst_host_count=(9.5;254.5],dst_host_serror_rate=[-Inf;0.005]} => {labels=normal.}" 0.027 1 0.027 5.19780537106555 486 3 1 2 1
"37838" "{flag=b'SF',count=[-Inf;1.5],dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0268888888888889 1 0.0268888888888889 5.19780537106555 484 3 1 5 1
"30362" "{protocol_type=b'tcp',hot=[-Inf;0.5],dst_host_srv_count=(102.5;254.5]} => {labels=normal.}" 0.0264444444444444 1 0.0264444444444444 5.19780537106555 476 3 1 4 1
"15505" "{=(74074.5;86235.5],protocol_type=b'tcp',flag=b'SF'} => {labels=normal.}" 0.0191666666666667 1 0.0191666666666667 5.19780537106555 345 3 1 4 1
"36984" "{flag=b'SF',srv_count=[-Inf;1.5],dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0178888888888889 1 0.0178888888888889 5.19780537106555 322 3 1 2 1
"1138" "{dst_host_same_srv_rate=(0.635;0.995],dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0165555555555556 1 0.0165555555555556 5.19780537106555 298 2 1 2 1
"460" "{dst_bytes=(8317.5; Inf],num_compromised=[-Inf;0.5]} => {labels=normal.}" 0.0153333333333333 1 0.0153333333333333 5.19780537106555 276 2 1 3 1
"24171" "{dst_bytes=(2;2189.5],hot=[-Inf;0.5],srv_count=(1.5;2.5]} => {labels=normal.}" 0.0149444444444444 1 0.0149444444444444 5.19780537106555 269 3 1 1 1
"20659" "{srv_count=[-Inf;1.5],dst_host_same_srv_rate=(0.635;0.995],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0131111111111111 1 0.0131111111111111 5.19780537106555 236 3 1 1 1
"854" "{=(74074.5;86235.5],dst_host_count=(9.5;254.5]} => {labels=normal.}" 0.0128333333333333 1 0.0128333333333333 5.19780537106555 231 2 1 1 1
"5328" "{flag=b'SF',wrong_fragment=[-Inf;0.5],dst_host_diff_srv_rate=(0.025;0.045]} => {labels=normal.}" 0.0118333333333333 1 0.0118333333333333 5.19780537106555 213 3 1 5 1
"5652" "{logged_in=1,is_guest_login=0,dst_host_same_srv_rate=(0.285;0.635]} => {labels=normal.}" 0.0105 1 0.0105 5.19780537106555 189 3 1 2 1
"3" "{src_bytes=(334.5;518]} => {labels=normal.}" 0.0103333333333333 1 0.0103333333333333 5.19780537106555 186 1 1 1 1
"47520" "{service=b'http',hot=[-Inf;0.5],diff_srv_rate=[-Inf;0.005]} => {labels=normal.}" 0.120722222222222 0.999540018399264 0.120777777777778 5.19541447623065 2173 3 0.5 1 0.999943458102454
"44260" "{hot=[-Inf;0.5],logged_in=1,dst_host_count=(9.5;254.5]} => {labels=normal.}" 0.0800555555555556 0.999306518723994 0.0801111111111111 5.19420079036439 1441 3 0.5 1 0.999886928991407
