"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"3038" "{service=b'ecr_i',dst_host_srv_count=(254.5; Inf]} => {labels=smurf.}" 0.560444444444444 1 0.560444444444444 1.78323756687141 5044 2 1 5044 1
"76" "{srv_count=(302.5; Inf]} => {labels=smurf.}" 0.56 1 0.56 1.78323756687141 5040 1 1 3 1
"2778" "{dst_host_count=(254.5; Inf],dst_host_diff_srv_rate=(0.045;0.105]} => {labels=neptune.}" 0.216444444444444 1 0.216444444444444 4.58949515553289 1948 2 1 1948 1
"2736" "{src_bytes=[-Inf;3.5],diff_srv_rate=(0.035;0.085]} => {labels=neptune.}" 0.213222222222222 1 0.213222222222222 4.58949515553289 1919 2 1 10 1
"45346" "{flag=b'S0',land=0,serror_rate=(0.92; Inf]} => {labels=neptune.}" 0.177222222222222 1 0.177222222222222 4.58949515553289 1595 3 1 3 1
"42651" "{service=b'http',hot=[-Inf;0.5],diff_srv_rate=[-Inf;0.005]} => {labels=normal.}" 0.124777777777778 1 0.124777777777778 4.94505494505495 1123 3 1 1123 1
"43145" "{dst_bytes=(2.5;8264.5],hot=[-Inf;0.5],logged_in=1} => {labels=normal.}" 0.121 1 0.121 4.94505494505495 1089 3 1 208 1
"42622" "{service=b'http',flag=b'SF',num_compromised=0} => {labels=normal.}" 0.113333333333333 1 0.113333333333333 4.94505494505495 1020 3 1 2 1
"2250" "{src_bytes=(28.5;333.5],dst_host_srv_count=(254.5; Inf]} => {labels=normal.}" 0.0954444444444444 1 0.0954444444444444 4.94505494505495 859 2 1 16 1
"43087" "{src_bytes=(28.5;333.5],dst_bytes=(2.5;8264.5],logged_in=1} => {labels=normal.}" 0.0906666666666667 1 0.0906666666666667 4.94505494505495 816 3 1 1 1
"2030" "{wrong_fragment=[-Inf;0.5],dst_host_srv_diff_host_rate=(0.005;0.065]} => {labels=normal.}" 0.0861111111111111 1 0.0861111111111111 4.94505494505495 775 2 1 48 1
"41619" "{dst_bytes=(2.5;8264.5],hot=[-Inf;0.5],dst_host_count=(2.5;254.5]} => {labels=normal.}" 0.0845555555555556 1 0.0845555555555556 4.94505494505495 761 3 1 36 1
"41613" "{dst_bytes=(2.5;8264.5],dst_host_count=(2.5;254.5],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0797777777777778 1 0.0797777777777778 4.94505494505495 718 3 1 3 1
"45016" "{dst_bytes=(2.5;8264.5],hot=[-Inf;0.5],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0797777777777778 1 0.0797777777777778 4.94505494505495 718 3 1 256 1
"2262" "{src_bytes=(28.5;333.5],dst_host_count=(254.5; Inf]} => {labels=normal.}" 0.0741111111111111 1 0.0741111111111111 4.94505494505495 667 2 1 71 1
"34522" "{hot=[-Inf;0.5],logged_in=1,count=(5.5;37.5]} => {labels=normal.}" 0.0656666666666667 1 0.0656666666666667 4.94505494505495 591 3 1 7 1
"34687" "{protocol_type=b'tcp',count=(5.5;37.5],serror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0654444444444444 1 0.0654444444444444 4.94505494505495 589 3 1 4 1
