"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"1655" "{peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}" 0.109090909090909 1 0.109090909090909 1.58653846153846 36 2 1 36 1
"23825" "{surgery=yes,pulse=(58; Inf],peripheral_pulse=normal} => {surgical_lesion=yes}" 0.1 1 0.1 1.58653846153846 33 3 1 28 1
"10474" "{surgery=no,pain=alert no pain,outcome=lived} => {surgical_lesion=no}" 0.096969696969697 1 0.096969696969697 2.70491803278689 32 3 1 32 1
"20672" "{pulse=(58; Inf],capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}" 0.0909090909090909 1 0.0909090909090909 1.58653846153846 30 3 1 10 1
"16279" "{surgery=no,rectal_examination=normal,outcome=lived} => {surgical_lesion=no}" 0.0878787878787879 1 0.0878787878787879 2.70491803278689 29 3 1 17 1
"20664" "{surgery=yes,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}" 0.0878787878787879 1 0.0878787878787879 1.58653846153846 29 3 1 1 1
"20046" "{Age=adult,rectal_examination=absent,outcome=died} => {surgical_lesion=yes}" 0.0848484848484849 1 0.0848484848484849 1.58653846153846 28 3 1 11 1
"1646" "{nasogastric_tube=slight,outcome=died} => {surgical_lesion=yes}" 0.0787878787878788 1 0.0787878787878788 1.58653846153846 26 2 1 1 1
"19344" "{Age=adult,abdominal_distension=moderate,outcome=died} => {surgical_lesion=yes}" 0.0757575757575758 1 0.0757575757575758 1.58653846153846 25 3 1 1 1
"20186" "{surgery=yes,nasogastric_tube=slight,rectal_examination=absent} => {surgical_lesion=yes}" 0.0757575757575758 1 0.0757575757575758 1.58653846153846 25 3 1 10 1
"21375" "{surgery=yes,nasogastric_tube=slight,abdomen=distended large intestine} => {surgical_lesion=yes}" 0.0757575757575758 1 0.0757575757575758 1.58653846153846 25 3 1 11 1
"12855" "{surgery=yes,rectal_examination=absent,abdomen=distended small intestine} => {surgical_lesion=yes}" 0.0727272727272727 1 0.0727272727272727 1.58653846153846 24 3 1 4 1
"13991" "{pulse=(58; Inf],peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0727272727272727 1 0.0727272727272727 1.58653846153846 24 3 1 5 1
"589" "{surgery=yes,nasogastric_reflux=>1l} => {surgical_lesion=yes}" 0.0696969696969697 1 0.0696969696969697 1.58653846153846 23 2 1 7 1
"18823" "{surgery=yes,mucous_membranes=pale pink,outcome=lived} => {surgical_lesion=yes}" 0.0696969696969697 1 0.0696969696969697 1.58653846153846 23 3 1 8 1
"1490" "{mucous_membranes=pale pink,peristalsis=absent} => {surgical_lesion=yes}" 0.0666666666666667 1 0.0666666666666667 1.58653846153846 22 2 1 2 1
"13989" "{surgery=yes,peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0636363636363636 1 0.0636363636363636 1.58653846153846 21 3 1 2 1
"19454" "{abdominal_distension=moderate,nasogastric_tube=slight,nasogastric_reflux=none} => {surgical_lesion=yes}" 0.0636363636363636 1 0.0636363636363636 1.58653846153846 21 3 1 3 1
