"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"80" "{srv_count=(330.5; Inf]} => {labels=smurf.}" 0.573888888888889 1 0.573888888888889 1.74047573003288 10330 1 1 10330 1
"3104" "{service=b'ecr_i',src_bytes=(1030;1035]} => {labels=smurf.}" 0.464611111111111 1 0.464611111111111 1.74047573003288 8363 2 1 10 1
"2915" "{src_bytes=[-Inf;0.5],diff_srv_rate=(0.035;0.185]} => {labels=neptune.}" 0.214111111111111 1 0.214111111111111 4.63320463320463 3854 2 1 3854 1
"2568" "{flag=b'S0',dst_host_serror_rate=(0.97; Inf]} => {labels=neptune.}" 0.175333333333333 1 0.175333333333333 4.63320463320463 3156 2 1 31 1
"48220" "{service=b'http',hot=[-Inf;0.5],dst_host_same_srv_rate=(0.995; Inf]} => {labels=normal.}" 0.115833333333333 1 0.115833333333333 5.19780537106555 2085 3 1 2085 1
"46727" "{dst_bytes=(2;2189.5],num_failed_logins=0,same_srv_rate=(0.995; Inf]} => {labels=normal.}" 0.113 1 0.113 5.19780537106555 2034 3 1 922 1
"2390" "{dst_bytes=(2;2189.5],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.111666666666667 1 0.111666666666667 5.19780537106555 2010 2 1 59 1
"48250" "{service=b'http',flag=b'SF',num_compromised=[-Inf;0.5]} => {labels=normal.}" 0.111166666666667 1 0.111166666666667 5.19780537106555 2001 3 1 44 1
"57" "{src_bytes=(518;534]} => {labels=smurf.}" 0.109944444444444 1 0.109944444444444 1.74047573003288 1979 1 1 2 1
"2532" "{src_bytes=(28.5;333.5],dst_host_srv_count=(254.5; Inf]} => {labels=normal.}" 0.0947777777777778 1 0.0947777777777778 5.19780537106555 1706 2 1 2 1
"39460" "{wrong_fragment=[-Inf;0.5],diff_srv_rate=[-Inf;0.005],dst_host_srv_diff_host_rate=(0.005;0.065]} => {labels=normal.}" 0.0822222222222222 1 0.0822222222222222 5.19780537106555 1480 3 1 86 1
"39554" "{wrong_fragment=[-Inf;0.5],serror_rate=[-Inf;0.005],dst_host_srv_diff_host_rate=(0.005;0.065]} => {labels=normal.}" 0.0821111111111111 1 0.0821111111111111 5.19780537106555 1478 3 1 4 1
"49809" "{src_bytes=(28.5;333.5],num_failed_logins=0,dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0795555555555556 1 0.0795555555555556 5.19780537106555 1432 3 1 179 1
"42013" "{hot=[-Inf;0.5],logged_in=1,dst_host_count=(13.5;252.5]} => {labels=normal.}" 0.0759444444444444 1 0.0759444444444444 5.19780537106555 1367 3 1 36 1
"41293" "{hot=[-Inf;0.5],logged_in=1,dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0722777777777778 1 0.0722777777777778 5.19780537106555 1301 3 1 3 1
"42008" "{logged_in=1,dst_host_count=(13.5;252.5],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0713333333333333 1 0.0713333333333333 5.19780537106555 1284 3 1 1 1
"41334" "{src_bytes=(28.5;333.5],num_failed_logins=0,dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0621111111111111 1 0.0621111111111111 5.19780537106555 1118 3 1 3 1
"41444" "{hot=[-Inf;0.5],dst_host_same_srv_rate=(0.995; Inf],dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.0611111111111111 1 0.0611111111111111 5.19780537106555 1100 3 1 1 1
"42032" "{flag=b'SF',src_bytes=(28.5;333.5],dst_host_count=(13.5;252.5]} => {labels=normal.}" 0.0582777777777778 1 0.0582777777777778 5.19780537106555 1049 3 1 3 1
"35874" "{=(11455;39723.5],flag=b'SF',wrong_fragment=[-Inf;0.5]} => {labels=normal.}" 0.0556111111111111 1 0.0556111111111111 5.19780537106555 1001 3 1 2 1
"36575" "{logged_in=1,num_compromised=[-Inf;0.5],count=(6.5;23.5]} => {labels=normal.}" 0.0515 1 0.0515 5.19780537106555 927 3 1 2 1
"49758" "{src_bytes=(28.5;333.5],hot=[-Inf;0.5],logged_in=0} => {labels=normal.}" 0.0416111111111111 1 0.0416111111111111 5.19780537106555 749 3 1 1 1
"29" "{srv_diff_host_rate=(0.005;0.285]} => {labels=normal.}" 0.0378888888888889 1 0.0378888888888889 5.19780537106555 682 1 1 3 1
"976" "{flag=b'SF',dst_bytes=(2453;8299]} => {labels=normal.}" 0.0280555555555556 1 0.0280555555555556 5.19780537106555 505 2 1 1 1
"40301" "{protocol_type=b'tcp',flag=b'SF',srv_count=(7.5;13.5]} => {labels=normal.}" 0.0263333333333333 1 0.0263333333333333 5.19780537106555 474 3 1 2 1
"29618" "{protocol_type=b'tcp',hot=[-Inf;0.5],dst_host_srv_count=(102.5;254.5]} => {labels=normal.}" 0.0259444444444444 1 0.0259444444444444 5.19780537106555 467 3 1 2 1
"38155" "{count=[-Inf;1.5],dst_host_same_src_port_rate=(0.005;0.125],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0244444444444444 1 0.0244444444444444 5.19780537106555 440 3 1 5 1
"27682" "{serror_rate=[-Inf;0.005],dst_host_same_srv_rate=(0.405;0.995],dst_host_same_src_port_rate=(0.005;0.125]} => {labels=normal.}" 0.021 1 0.021 5.19780537106555 378 3 1 3 1
"730" "{service=b'http',dst_host_count=(1.5;13.5]} => {labels=normal.}" 0.0192222222222222 1 0.0192222222222222 5.19780537106555 346 2 1 1 1
"14348" "{=(74065;86235.5],protocol_type=b'tcp',flag=b'SF'} => {labels=normal.}" 0.0188888888888889 1 0.0188888888888889 5.19780537106555 340 3 1 1 1
"517" "{dst_bytes=(8317.5; Inf],num_compromised=[-Inf;0.5]} => {labels=normal.}" 0.0159444444444444 1 0.0159444444444444 5.19780537106555 287 2 1 2 1
"766" "{=(74065;86235.5],dst_host_count=(13.5;252.5]} => {labels=normal.}" 0.0116111111111111 1 0.0116111111111111 5.19780537106555 209 2 1 1 1
"49093" "{hot=[-Inf;0.5],logged_in=1,dst_host_count=(252.5; Inf]} => {labels=normal.}" 0.0445555555555556 0.998754669987547 0.0446111111111111 5.19133238803807 802 3 0.5 1 0.999943448509868
"38189" "{count=[-Inf;1.5],dst_host_count=(13.5;252.5],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.028 0.998019801980198 0.0280555555555556 5.18751268716245 504 3 0.5 1 0.999886909810574
"41468" "{flag=b'SF',dst_host_same_src_port_rate=(0.005;0.125],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0789444444444444 0.997893258426966 0.0791111111111111 5.18685493840179 1421 3 0.571428571428571 4 0.999717386389328
"42272" "{dst_host_count=(13.5;252.5],dst_host_serror_rate=[-Inf;0.005],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0742777777777778 0.997761194029851 0.0744444444444444 5.18616849336914 1337 3 0.333333333333333 1 0.999604408024866
"18875" "{protocol_type=b'tcp',flag=b'SF',dst_host_same_src_port_rate=(0.125;0.995]} => {labels=normal.}" 0.0166666666666667 0.996677740863787 0.0167222222222222 5.18053691468327 300 3 0.5 1 0.999547945979545
"38795" "{count=[-Inf;1.5],dst_host_srv_diff_host_rate=[-Inf;0.005],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.0340555555555556 0.968404423380727 0.0351666666666667 5.03357771321198 613 3 0.0526315789473684 1 0.998532400090314
"0" "{} => {labels=back.}" 0.00433333333333333 0.00433333333333333 1 1 78 0 0.274647887323944 78 0.987111111111111
