"","rules","support","confidence","lift"
"1","{X=(26791;39724]} => {label=1}",1,1,1
"2","{src_bytes=(28.5;333.5]} => {label=1}",1,1,1
"3","{protocol_type=b'icmp'} => {label=0}",1,1,1
"4","{service=b'private'} => {label=0}",1,1,1
"5","{dst_host_same_src_port_rate=(0.085;0.535]} => {label=1}",1,1,1
"6","{same_srv_rate=[-Inf;0.195]} => {label=0}",1,1,1
"7","{flag=b'S0'} => {label=0}",1,1,1
"8","{dst_bytes=(2;2052.5]} => {label=1}",1,1,1
"9","{dst_host_srv_diff_host_rate=(0.005;0.085]} => {label=1}",1,1,1
"10","{dst_bytes=(2453.5;8302.5]} => {label=1}",1,1,1
"11","{dst_host_same_srv_rate=(0.015;0.095]} => {label=1}",1,1,1
"12","{srv_count=(12.5;20.5]} => {label=1}",1,1,1
"13","{dst_host_rerror_rate=[-Inf;0.005]} => {label=0}",1,1,1
"14","{logged_in=1} => {label=0}",1,1,1
"15","{service=b'http'} => {label=1}",1,1,1
"16","{} => {label=0}",1,1,1
