"","rules","support","confidence","lift"
"1","{is_guest_login=0,count=(85.5;501.5],diff_srv_rate=(0.025;0.125]} => {label=0}",1,1,1
"2","{flag=b'S0',urgent=0,dst_host_srv_rerror_rate=[-Inf;0.005]} => {label=0}",1,1,1
"3","{dst_bytes=(2;2048],num_compromised=[-Inf;0.5],dst_host_serror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"4","{num_compromised=[-Inf;0.5],protocol_type=b'tcp',service=b'http'} => {label=1}",1,1,1
"5","{src_bytes=(28.5;333.5],num_failed_logins=0,su_attempted=0} => {label=1}",1,1,1
"6","{dst_bytes=(2454.5;8313],num_outbound_cmds=0,srv_serror_rate=[-Inf;0.01]} => {label=1}",1,1,1
"7","{su_attempted=0,num_outbound_cmds=0,src_bytes=[-Inf;2.5]} => {label=0}",1,1,1
"8","{num_outbound_cmds=0,dst_host_diff_srv_rate=[-Inf;0.005]} => {label=0}",1,1,1
"9","{is_guest_login=0,protocol_type=b'tcp',hot=[-Inf;1.5]} => {label=1}",1,1,1
"10","{} => {label=0}",1,1,1
