"","rules","support","confidence","lift"
"1","{dst_host_srv_diff_host_rate=(0.005;0.065]} => {label=1}",1,1,1
"2","{src_bytes=(28.5;333.5]} => {label=1}",1,1,1
"3","{service=b'private'} => {label=0}",1,1,1
"4","{flag=b'S0'} => {label=0}",1,1,1
"5","{service=b'smtp'} => {label=1}",1,1,1
"6","{protocol_type=b'icmp'} => {label=0}",1,1,1
"7","{dst_host_same_srv_rate=(0.375;0.995]} => {label=1}",1,1,1
"8","{dst_host_srv_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"9","{dst_host_srv_diff_host_rate=[-Inf;0.005]} => {label=0}",1,1,1
"10","{} => {label=1}",1,1,1
