"","rules","support","confidence","lift"
"1","{src_bytes=(28.5;333.5]} => {label=1}",1,1,1
"2","{protocol_type=b'icmp'} => {label=0}",1,1,1
"3","{dst_host_srv_diff_host_rate=(0.005;0.085]} => {label=1}",1,1,1
"4","{service=b'private'} => {label=0}",1,1,1
"5","{diff_srv_rate=(0.025;0.085]} => {label=0}",1,1,1
"6","{dst_host_diff_srv_rate=(0.005;0.045]} => {label=1}",1,1,1
"7","{dst_bytes=(14.5;8308]} => {label=1}",1,1,1
"8","{dst_host_srv_count=(2.5;25.5]} => {label=1}",1,1,1
"9","{logged_in=1} => {label=0}",1,1,1
"10","{service=b'http'} => {label=1}",1,1,1
"11","{} => {label=0}",1,1,1
