"","rules","support","confidence","lift"
"1","{src_bytes=(28.5;333.5],su_attempted=0,dst_host_srv_serror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"2","{src_bytes=[-Inf;5],diff_srv_rate=(0.035;0.195]} => {label=0}",1,1,1
"3","{flag=b'SF',dst_bytes=(2;2189.5],urgent=0} => {label=1}",1,1,1
"4","{service=b'http',num_compromised=[-Inf;0.5],is_guest_login=0} => {label=1}",1,1,1
"5","{su_attempted=0,count=[-Inf;41.5],dst_host_diff_srv_rate=[-Inf;0.005]} => {label=0}",1,1,1
"6","{num_compromised=[-Inf;0.5],protocol_type=b'udp'} => {label=0}",1,1,1
"7","{src_bytes=[-Inf;5],logged_in=0,dst_host_srv_diff_host_rate=[-Inf;0.005]} => {label=0}",1,1,1
"8","{su_attempted=0,protocol_type=b'tcp',dst_host_same_src_port_rate=[-Inf;0.005]} => {label=0}",1,1,1
"9","{protocol_type=b'icmp',num_shells=0,diff_srv_rate=[-Inf;0.035]} => {label=0}",1,1,1
"10","{} => {label=1}",1,1,1
