"","rules","support","confidence","lift"
"1","{dst_bytes=(2;2052.5]} => {label=1}",1,1,1
"2","{src_bytes=(28.5;333.5]} => {label=1}",1,1,1
"3","{protocol_type=b'icmp'} => {label=0}",1,1,1
"4","{service=b'private'} => {label=0}",1,1,1
"5","{count=(85.5;305]} => {label=0}",1,1,1
"6","{flag=b'S0'} => {label=0}",1,1,1
"7","{dst_host_srv_diff_host_rate=(0.005;0.085]} => {label=1}",1,1,1
"8","{srv_count=(9.5;15.5]} => {label=1}",1,1,1
"9","{dst_bytes=(2453.5;8302.5]} => {label=1}",1,1,1
"10","{dst_host_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"11","{logged_in=1} => {label=0}",1,1,1
"12","{service=b'http'} => {label=1}",1,1,1
"13","{dst_host_count=(2.5;254.5]} => {label=1}",1,1,1
"14","{} => {label=0}",1,1,1
