"","rules","support","confidence","lift"
"1","{flag=b'S0',dst_bytes=[-Inf;2],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {label=0}",1,1,1
"2","{flag=b'SF',dst_bytes=(2;2438.5],diff_srv_rate=[-Inf;0.035]} => {label=1}",1,1,1
"3","{protocol_type=b'tcp',service=b'http',num_compromised=[-Inf;0.5]} => {label=1}",1,1,1
"4","{protocol_type=b'tcp',num_file_creations=[-Inf;0.5],dst_host_diff_srv_rate=[-Inf;0.005]} => {label=0}",1,1,1
"5","{dst_bytes=(2452;7295.5],num_failed_logins=0} => {label=1}",1,1,1
"6","{src_bytes=[-Inf;3.5],root_shell=0,is_guest_login=0} => {label=0}",1,1,1
"7","{src_bytes=(28.5;333.5],num_root=[-Inf;0.5]} => {label=1}",1,1,1
"8","{is_guest_login=0,logged_in=1,num_access_files=0} => {label=1}",1,1,1
"9","{protocol_type=b'tcp',logged_in=0} => {label=1}",1,1,1
"10","{} => {label=0}",1,1,1
