"","rules","support","confidence","lift"
"1","{src_bytes=(28.5;333.5]} => {label=1}",1,1,1
"2","{service=b'private'} => {label=0}",1,1,1
"3","{same_srv_rate=[-Inf;0.195]} => {label=0}",1,1,1
"4","{flag=b'S0'} => {label=0}",1,1,1
"5","{service=b'ecr_i'} => {label=0}",1,1,1
"6","{dst_host_srv_diff_host_rate=(0.005;0.065]} => {label=1}",1,1,1
"7","{src_bytes=[-Inf;5]} => {label=1}",1,1,1
"8","{dst_bytes=(2;2189.5]} => {label=1}",1,1,1
"9","{X=(11455;39723.5]} => {label=1}",1,1,1
"10","{dst_bytes=(2453;8299]} => {label=1}",1,1,1
"11","{service=b'http'} => {label=0}",1,1,1
"12","{dst_host_same_src_port_rate=(0.005;0.995]} => {label=1}",1,1,1
"13","{} => {label=0}",1,1,1
