"","rules","support","confidence","lift"
"1","{src_bytes=(28.5;333.5]} => {label=1}",1,1,1
"2","{service=b'private'} => {label=0}",1,1,1
"3","{service=b'ecr_i'} => {label=0}",1,1,1
"4","{X=(26791;39724]} => {label=1}",1,1,1
"5","{X=(11491;26603]} => {label=1}",1,1,1
"6","{dst_host_same_src_port_rate=(0.085;0.885]} => {label=1}",1,1,1
"7","{dst_bytes=(2;2052.5]} => {label=1}",1,1,1
"8","{same_srv_rate=[-Inf;0.195]} => {label=0}",1,1,1
"9","{flag=b'S0'} => {label=0}",1,1,1
"10","{dst_host_srv_diff_host_rate=(0.005;0.075]} => {label=1}",1,1,1
"11","{srv_diff_host_rate=(0.005;0.275]} => {label=1}",1,1,1
"12","{dst_host_same_srv_rate=(0.015;0.085]} => {label=1}",1,1,1
"13","{dst_bytes=(2453.5;8302.5]} => {label=1}",1,1,1
"14","{count=(1.5;5.5]} => {label=0}",1,1,1
"15","{logged_in=1} => {label=0}",1,1,1
"16","{service=b'http'} => {label=1}",1,1,1
"17","{} => {label=0}",1,1,1
