"","rules","support","confidence","lift"
"1","{dst_bytes=(2;2438.5],num_outbound_cmds=0,dst_host_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"2","{flag=b'SF',src_bytes=(28.5;333.5],land=0} => {label=1}",1,1,1
"3","{protocol_type=b'udp',logged_in=0} => {label=0}",1,1,1
"4","{protocol_type=b'icmp',num_shells=0,diff_srv_rate=[-Inf;0.035]} => {label=0}",1,1,1
"5","{urgent=0,is_guest_login=0,dst_host_srv_diff_host_rate=(0.005;0.095]} => {label=1}",1,1,1
"6","{service=b'http',num_compromised=[-Inf;0.5],srv_serror_rate=[-Inf;0.01]} => {label=1}",1,1,1
"7","{num_shells=0,num_access_files=0,dst_host_diff_srv_rate=[-Inf;0.005]} => {label=0}",1,1,1
"8","{num_compromised=[-Inf;0.5],src_bytes=[-Inf;3.5],su_attempted=0} => {label=0}",1,1,1
"9","{land=0,is_guest_login=0} => {label=1}",1,1,1
"10","{} => {label=0}",1,1,1
