"","rules","support","confidence","lift"
"1","{src_bytes=(28.5;333.5]} => {label=1}",1,1,1
"2","{X=(26791;39724]} => {label=1}",1,1,1
"3","{protocol_type=b'icmp'} => {label=0}",1,1,1
"4","{diff_srv_rate=(0.035;0.105]} => {label=0}",1,1,1
"5","{dst_bytes=(2;2052.5]} => {label=1}",1,1,1
"6","{service=b'private'} => {label=0}",1,1,1
"7","{flag=b'S0'} => {label=0}",1,1,1
"8","{dst_host_srv_diff_host_rate=(0.005;0.075]} => {label=1}",1,1,1
"9","{count=(5.5;22.5]} => {label=1}",1,1,1
"10","{dst_host_rerror_rate=[-Inf;0.005]} => {label=1}",1,1,1
"11","{dst_host_same_srv_rate=(0.015;0.085]} => {label=1}",1,1,1
"12","{logged_in=1} => {label=0}",1,1,1
"13","{service=b'http'} => {label=1}",1,1,1
"14","{dst_host_count=(2.5;254.5]} => {label=1}",1,1,1
"15","{} => {label=0}",1,1,1
