dataset,accuracy,rules,antlength,buildtime
anneal,0.991110562346517,16.5,1.93871428571429,1.94
australian,0.799869078066009,47.8,4.36844795301317,101.319
autos,0.811640695942755,37.7,2.41268391683252,2.466
breast-w,0.949915434636806,22.8,2.83779531338227,3.28
colic,0.785953058321479,52.6,2.74724821387758,0.735
credit-a,0.811676409694313,53.7,3.40419934146805,28.66
credit-g,0.748,144.6,2.91426323504059,26.837
diabetes,0.750102529049897,26.6,3.10082678919521,73.264
glass,0.702961289917812,19.6,2.69429572376941,10.036
heart-statlog,0.8,23.2,4.10663714305019,6.034
hepatitis,0.743308823529412,12.2,3.12168553668554,0.53
hypothyroid,0.988877572064106,18,2.41721970367094,135.06
ionosphere,0.847478991596639,21.5,1.60541094171529,11.081
iris,0.96,4.5,1.18666666666667,0.176
labor,0.836666666666667,6.8,1.5047619047619,0.058
letter,0.600339147678942,772.9,1.99391784756163,370.99
lymph,0.7925,35.8,2.9674320369986,0.157
