dataset,accuracy,rules,antlength,buildtime
anneal,0.98882562506158,29,2.20913843356001,3.135
australian,0.844886128364389,88.8,4.41731169020616,112.296
autos,0.802474029276089,47.8,2.4935273275122,2.771
breast-w,0.94569008252413,32.3,2.87325190266723,3.462
colic,0.794136241504662,91.3,2.81166754547437,0.755
credit-a,0.84215625380587,105.3,3.39857239573996,29.955
credit-g,0.742,230.4,2.92871168636689,27.675
diabetes,0.768318523581682,46.4,3.05974180336182,73.707
glass,0.711656942091725,22.8,2.71482348548138,10.79
heart-statlog,0.814814814814815,44.1,4.18791170237323,6.535
hepatitis,0.800441176470588,28.5,3.11991192715331,0.57
hypothyroid,0.992318158665842,39.9,2.6693243749969,143.642
ionosphere,0.89984126984127,41.2,1.77200521630754,12.174
iris,0.96,5.4,1.27333333333333,0.19
labor,0.893333333333333,11,1.70916583416583,0.063
letter,0.602141469896238,786.6,1.99402497172799,403.159
lymph,0.7925,35.8,2.9674320369986,0.174
segment,0.954545454545454,132,1.96515555572274,972.658
sonar,0.744437229437229,35.2,2.79828503140797,14.581
spambase,0.928063652803488,323.9,1.98142504324708,1003.413
vehicle,0.681837049959156,136.3,2.89662882193914,98.887
vowel,0.738383838383838,165.5,2.83304040934435,1119.639
