dataset,accuracy,rules,antlength,buildtime
anneal,0.987776396512351,149.9,2.63864176941069,6.963
australian,0.868098891730605,563.1,4.62877288901141,15.166
autos,0.806102393665323,236.5,2.6385909173504,6.746
breast-w,0.968508150351384,259.6,3.1428209993307,1.352
colic,0.815623518255097,394.2,2.89452715161534,1.452
credit-a,0.866650225307514,580.5,3.50110153803,3.882
credit-g,0.731,834.4,2.93869216104909,1.363
diabetes,0.757877648667122,240.3,3.72317208827796,0.786
glass,0.710768868812347,129.1,3.55185222521418,1.671
heart-statlog,0.822222222222222,272.1,4.76726243742246,3.876
hepatitis,0.832156862745098,147.2,3.51619033893075,3.667
hypothyroid,0.964468562839062,311.8,2.82580409628194,2.335
ionosphere,0.922385620915033,184,2.13152725850794,58.235
iris,0.926666666666667,34.2,2.19816452748074,0.427
labor,0.876666666666667,48.6,2.48746764008784,0.963
letter,0.519635089470377,2470.9,1.99652095106274,3.483
lymph,0.836170634920635,151.3,3.43285859553106,4.823
segment,0.883549783549783,808.6,1.98591027995885,1.523
sonar,0.788701298701299,176.4,2.91612089028446,17.344
spambase,0.917193589309722,1039.7,1.98980169643005,2.524
vehicle,0.63827529740788,769.5,2.92566783413894,2.992
vowel,0.734343434343434,961,2.9115700860778,1.508
