dataset,accuracy,rules
anneal,0.9466855616,37.3
australian,0.8637291438,5.6
heart-h,0.8014860427,5.6
heart-statlog,0.8296296296,8.6
kr-vs-kp,0.992175726,27.5
heart-c,0.7765999258,8.8
pima,0.7384483937,10.8
tic-tac-toe,0.946796663,33.9
audiology,0.7866627937,18.9
balance-scale,0.7905932865,40.7
car,0.9623359979,43.6
breast-cancer,0.6964778325,6.2
house-votes-84,0.9424267593,6
primary-tumor,0.4039390499,26.1
soybean,0.9151860752,36.8
splice,0.9413893449,13.6
mushroom,1,4
vote,0.9424267593,6
zoo,0.9542424242,8.5
autos,0.7770693945,22.4
breast-w,0.9570381711,9.7
colic,0.856401138,6.4
credit-a,0.8638150043,8
credit-g,0.725,23.6
diabetes,0.7384483937,10.8
glass,0.6902726018,16
hepatitis,0.7812745098,6.1
hypothyroid,0.9936423246,8.3
ionosphere,0.8830112045,4.7
iris,0.9266666667,5.2
labor,0.8433333333,5.1
lymph,0.7757738095,10.6
sick,0.9864819468,14.6
sonar,0.7276839827,7.1
vehicle,0.7290281948,35.2
segment,0.9601731602,27.3
spambase,0.9371841621,39.6
vowel,0.7898989899,80.8
waveform-5000,0.789778441,64.9
