dataset,accuracy,rules
anneal,0.94320182,14
australian,0.8508506881,4
heart-h,0.7977914614,3.2
heart-statlog,0.7740740741,4.6
kr-vs-kp,0.9924931303,16.2
heart-c,0.7850797182,3.8
pima,0.7526315789,3.5
tic-tac-toe,0.9770495343,10.2
audiology,0.3797821743,10.9
balance-scale,0.8144795733,16.7
car,0.9056864718,99.2
breast-cancer,0.7197783251,3.2
house-votes-84,0.9538986208,2.5
primary-tumor,0.4149415561,21.8
soybean,0.9082273615,27.2
splice,0.9423111402,13.3
mushroom,1,8.6
vote,0.9538986208,2.5
zoo,0.9258585859,7.6
autos,0.2262939959,4.3
breast-w,0.9584874464,5.8
colic,0.8398055951,3.4
credit-a,0.849088418,4.8
credit-g,0.72,7.1
diabetes,0.7526315789,3.5
glass,0.0608695652,0.8
hepatitis,0.7941911765,3.9
hypothyroid,0.9949622653,4.7
ionosphere,0.9143837535,5.9
iris,0.94,3.7
labor,0.1,0.3
letter,0.8760136991,662.6
lymph,0.7749404762,7.8
sick,0.9825031669,9.1
sonar,0.7444805195,5.6
vehicle,0.6711850384,20.8
segment,0.954978355,21.5
spambase,0.9284913352,16.9
vowel,0.7666666667,53.9
waveform-5000,0.7892040205,29.4
