dataset,accuracy,rules,antlength,buildtime
anneal,0.829580207557736,6.4,1.26571428571429,0.508
australian,0.682566678845451,9.8,2.61136752136752,2.032
autos,0.409050524862882,4.7,1.24,0.238
breast-w,0.959894730703059,7.8,2.00670634920635,0.4
colic,0.627596017069701,12.2,1.8266033966034,0.053
credit-a,0.595727682377299,11.6,1.77286713286713,0.27
credit-g,0.699,8.2,1.26250138750139,0.129
diabetes,0.649863294600137,8.1,2.43666666666667,5.39
glass,0.563130999435347,6.2,1.93293650793651,1.192
heart-statlog,0.659259259259259,9.7,2.65714285714286,0.145
hepatitis,0.794191176470588,4,0.7525,0.051
hypothyroid,0.949614376840739,3.6,0.988333333333333,6.832
ionosphere,0.899439775910364,8.7,1.32720057720058,1.272
iris,0.933333333333333,4.9,1.25833333333333,0.185
labor,0.703333333333333,4.9,1.43309523809524,0.055
letter,0.0812935408752596,5.9,1.25904761904762,4.08
lymph,0.684285714285714,8.3,1.6100974025974,0.051
segment,0.518181818181818,4.1,0.993333333333333,23.742
sonar,0.675476190476191,7.7,1.64808080808081,1.233
spambase,0.64684274623637,6.3,1.15939393939394,7.254
vehicle,0.368598994422855,4.5,1.5247619047619,0.945
vowel,0.207070707070707,8.5,1.60987012987013,12.358
