dataset,accuracy,rules,antlength,buildtime
anneal,0.984443063179018,27.4,2.9034643313264,0.12
australian,0.850621118012422,108.7,3.96086701975707,0.21
autos,0.802501725327812,56.6,3.01920036019602,0.06
breast-w,0.949915434636806,51.3,2.80259948076957,0.07
colic,0.799249249249249,95,3.18848970920893,0.08
credit-a,0.858100718548289,142.9,3.90635820563912,0.21
credit-g,0.711,168.8,3.7563618603997,0.28
diabetes,0.748786739576213,51,3.90207499136084,0.15
glass,0.647048748353096,27.8,3.85415202592268,0.05
heart-statlog,0.822222222222222,54,3.9249383428723,0.07
hepatitis,0.807107843137255,32.2,3.8692806943566,0.04
hypothyroid,0.954962174029322,29.2,3.09562431030173,0.33
ionosphere,0.925494864612512,53.2,2.47238007365626,0.11
iris,0.806666666666667,6,2.01333333333333,0.03
labor,0.856666666666667,10.7,3.61633033633034,0.03
letter,0.262189716606638,90.7,3.73505837882952,2.61
lymph,0.805892857142857,38.1,3.69191943905359,0.04
segment,0.938961038961039,180.6,3.42537198486431,0.58
sonar,0.739891774891775,43.5,2.92395731395807,0.1
spambase,0.931754583166642,305.6,2.28358219278647,1.84
vehicle,0.696097791548468,146.8,3.90412770083165,0.22
vowel,0.65050505050505,133.9,3.9183954423944,0.55
