dataset,input rows,input rules,output_rules_arc,output_rules_acba,output_rules_rcba,time_arc,time_acba,time_rcba
data/folds/train/lymph0.csv,260,100,10,9,10,0.1208,0.0637,0.2222
data/folds/train/lymph0.csv,520,100,10,9,10,0.1174,0.0726000000000001,0.2017
data/folds/train/lymph0.csv,1040,100,10,9,10,0.1439,0.1129,0.2163
data/folds/train/lymph0.csv,2080,100,10,9,10,0.2362,0.1427,0.2356
data/folds/train/lymph0.csv,4160,100,10,9,10,0.3506,0.304,0.2916
data/folds/train/lymph0.csv,8320,100,10,9,10,0.4803,0.591,0.3647
data/folds/train/lymph0.csv,16640,100,10,9,10,0.7925,1.0111,0.5706
data/folds/train/lymph0.csv,33280,100,10,9,10,1.1542,1.7767,1.1649
data/folds/train/lymph0.csv,66560,100,10,9,10,1.8502,3.4126,2.8586
data/folds/train/lymph0.csv,133120,100,10,9,10,3.7388,6.8389,8.13
data/folds/train/lymph0.csv,266240,100,10,9,10,7.4437,13.7499,33.7424
data/folds/train/lymph0.csv,532480,100,10,9,10,15.2473,27.3735,196.4931
