dataset,accuracy,rules,antlength,buildtime
anneal,0.992221947839925,25.1,2.28014472403603,1.08
australian,0.866670929241262,74.4,3.76873671938942,67.97
autos,0.782989902291962,49.9,2.5082005560577,2.63
breast-w,0.94987344355991,30.9,2.7474903153998,1.55
colic,0.788517464833254,85.6,2.86179294318161,0.83
credit-a,0.853690171720862,111.9,3.62166109385312,42.1
credit-g,0.758,160.6,3.44884931568839,53.75
diabetes,0.769617224880383,40.1,2.97569563445364,75.71
glass,0.692860279816802,24,2.77967486206392,16.47
heart-statlog,0.807407407407407,47.4,3.61675574787531,2.49
hepatitis,0.820024509803921,27.5,3.03094444444444,0.48
hypothyroid,0.986488184025216,15.7,2.45059352927774,97.03
ionosphere,0.883174603174603,40.3,1.89511544245465,29.17
iris,0.933333333333333,5,1.22904761904762,0.21
labor,0.876666666666667,10.6,1.6461038961039,0.07
letter,0.294733268404838,78.3,2.91692171050368,144.95
lymph,0.785357142857143,37.3,2.94389023652182,0.1
segment,0.951948051948052,88.8,2.65216911555136,2493.84
sonar,0.773917748917749,34.8,2.76989327636665,19.1
spambase,0.931533886800238,247.6,2.19849494177811,1777.93
vehicle,0.705511208358173,106.2,3.66261315193249,111.98
vowel,0.695959595959596,97.1,3.43744769378774,1539.07
