dataset,accuracy,rules,antlength,buildtime
anneal,0.984443063179018,27.4,2.9034643313264,0.25
australian,0.856461454146876,123.4,3.96498491582758,0.47
autos,0.807263630089717,57.1,3.01914349352624,0.15
breast-w,0.955609599626746,57.3,2.75294649981629,0.12
colic,0.802030978346768,106.4,3.18951155925629,0.13
credit-a,0.85665144318597,147.1,3.89649009988551,0.29
credit-g,0.747,240.3,3.73089469876669,0.57
diabetes,0.757911825017088,56.7,3.90172957122722,0.36
glass,0.721992910471171,32.2,3.87491582912214,0.12
heart-statlog,0.82962962962963,61.1,3.93414306391929,0.1
hepatitis,0.808259803921569,37.7,3.88774189296654,0.07
hypothyroid,0.969274001023624,40.9,3.25529919734376,0.8
ionosphere,0.925494864612512,57.8,2.45559595568121,0.28
iris,0.913333333333333,9.1,2.0384126984127,0.03
labor,0.873333333333333,13.3,3.69750915750916,0.05
letter,0.262189716606638,91.1,3.73624152503504,9.23
lymph,0.805892857142857,38.9,3.69822308788513,0.08
segment,0.941558441558442,184,3.42173330755959,1.14
sonar,0.734891774891775,48.6,2.89602860583305,0.24
spambase,0.931972448090389,308.5,2.28093140016753,3.66
vehicle,0.696097791548468,148.7,3.90542069666448,0.53
vowel,0.651515151515151,134.1,3.91847731328799,1.34
