dataset,accuracy,rules,antlength,buildtime
anneal,0.964352598088553,27.4,3.0100976099252,25.48
australian,0.849171842650104,108.7,3.96086701975707,3.41
autos,0.787097090552468,56.6,3.01920036019602,22.66
breast-w,0.949915434636806,51.3,2.80259948076957,1.46
colic,0.791149043780623,95,3.18848970920893,19.5
credit-a,0.852282304226038,142.9,3.90635820563912,9.21
credit-g,0.762,168.8,3.7563618603997,24.35
diabetes,0.747453861927546,51,3.90207499136084,1.29
glass,0.714504987765857,27.8,3.85415202592268,1.29
heart-statlog,0.814814814814815,54,3.9249383428723,1.06
hepatitis,0.794926470588235,32.2,3.8692806943566,15.33
hypothyroid,0.98091997132404,29.2,3.09562431030173,29.52
ionosphere,0.922553688141924,53.2,2.47238007365626,25.61
iris,0.92,6,2.01333333333333,0.19
labor,0.843333333333333,10.7,3.61633033633034,1.27
letter,0.284731833664276,90.7,3.73505837882952,5.38
lymph,0.805892857142857,38.1,3.69191943905359,8.16
segment,0.948917748917749,180.6,3.42537198486431,45.55
sonar,0.74465367965368,43.5,2.92395731395807,16.79
spambase,0.931320743687249,305.6,2.28358219278647,111.42
vehicle,0.691391583483847,146.8,3.90412770083165,26.43
vowel,0.664646464646465,133.9,3.9183954423944,8.7
