dataset,accuracy,rules,antlength,buildtime
anneal,0.964352598088553,27.4,3.0100976099252,33.04
australian,0.855012178784557,123.4,3.96498491582758,5.86
autos,0.787097090552468,57.1,3.01914349352624,30.98
breast-w,0.955609599626746,57.4,2.7483412366584,2.26
colic,0.793851746483325,106.4,3.18951155925629,26.9
credit-a,0.853752892461332,147.1,3.89649009988551,17.94
credit-g,0.745,240.3,3.73089469876669,44.69
diabetes,0.757911825017088,56.7,3.90172957122722,3.07
glass,0.714721437982307,32.2,3.87491582912214,3.05
heart-statlog,0.82962962962963,61.1,3.93414306391929,1.56
hepatitis,0.794926470588235,37.7,3.88774189296654,19.8
hypothyroid,0.97033712535344,40.9,3.25529919734376,48.94
ionosphere,0.922553688141924,57.8,2.45559595568121,39.71
iris,0.92,9.1,2.0384126984127,0.3
labor,0.843333333333333,13.3,3.69750915750916,1.81
letter,0.284631633162871,91.1,3.73624152503504,8.45
lymph,0.805892857142857,38.9,3.69822308788513,9.49
segment,0.948917748917749,184,3.42173330755959,55.47
sonar,0.73965367965368,48.6,2.89602860583305,19.63
spambase,0.931103823947553,308.5,2.28093140016753,128.6
vehicle,0.691391583483847,148.7,3.90542069666448,32.26
vowel,0.661616161616162,134.1,3.91847731328799,12.81
