dataset,input rules,output_rules_arc,output_rules_rcba,output_rules_acba,time_arc,time_rcba,time_acba,acc_arc,acc_rcba,acc_acba
data/folds/test/lymph0.csv,10,2,2,1,1.12599999999999,0.106999999999999,0.179000000000002,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,11,2,2,1,0.0859999999999985,0.0690000000000026,0.0789999999999935,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,12,2,2,1,0.100000000000009,0.0600000000000023,0.0840000000000032,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,13,2,2,1,0.102000000000004,0.0670000000000073,0.0900000000000034,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,14,2,2,1,0.0949999999999989,0.0570000000000022,0.105000000000004,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,15,2,2,1,0.616,0.063999999999993,0.100999999999999,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,16,2,2,1,0.0960000000000036,0.078000000000003,0.134,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,17,2,2,1,0.100999999999999,0.0519999999999925,0.0900000000000034,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,18,2,2,1,0.445999999999998,0.0550000000000068,0.078000000000003,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,19,2,2,1,0.411999999999992,0.0589999999999975,0.0759999999999934,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,20,2,2,1,0.439999999999998,0.0679999999999978,0.0930000000000035,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,30,6,6,3,0.450999999999993,0.0520000000000067,0.0769999999999982,0.611111111111111,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,40,10,10,4,0.477999999999994,0.0880000000000081,0.0840000000000032,0.722222222222222,0.611111111111111,0.611111111111111
data/folds/test/lymph0.csv,50,15,15,6,0.0919999999999987,0.414999999999992,0.114000000000004,0.555555555555556,0.555555555555556,0.555555555555556
data/folds/test/lymph0.csv,60,13,13,3,0.117000000000004,0.070999999999998,0.0999999999999943,0.555555555555556,0.555555555555556,0.611111111111111
data/folds/test/lymph0.csv,70,12,14,3,0.108000000000004,0.0690000000000026,0.100999999999999,0.611111111111111,0.555555555555556,0.611111111111111
data/folds/test/lymph0.csv,80,14,15,3,0.439999999999998,0.0890000000000128,0.131999999999991,0.611111111111111,0.611111111111111,0.611111111111111
data/folds/test/lymph0.csv,90,14,14,4,0.100999999999999,0.420000000000002,0.0959999999999894,0.611111111111111,0.611111111111111,0.611111111111111
data/folds/test/lymph0.csv,100,10,10,4,0.108000000000004,0.0939999999999941,0.0870000000000033,0.666666666666667,0.666666666666667,0.611111111111111
data/folds/test/lymph0.csv,200,11,11,8,0.103999999999999,0.426000000000002,0.119,0.722222222222222,0.722222222222222,0.777777777777778
data/folds/test/lymph0.csv,300,19,19,15,0.507999999999996,0.0760000000000076,0.0930000000000035,0.722222222222222,0.722222222222222,0.777777777777778
data/folds/test/lymph0.csv,400,16,16,12,0.522999999999996,0.0810000000000031,0.0960000000000036,0.722222222222222,0.722222222222222,0.777777777777778
data/folds/test/lymph0.csv,500,18,18,11,0.523999999999987,0.0960000000000036,0.131,0.833333333333333,0.777777777777778,0.666666666666667
data/folds/test/lymph0.csv,600,23,23,15,0.546000000000006,0.11999999999999,0.147000000000006,0.833333333333333,0.777777777777778,0.666666666666667
data/folds/test/lymph0.csv,700,24,24,17,2.70299999999999,0.100999999999999,0.103999999999999,0.888888888888889,0.833333333333333,0.611111111111111
data/folds/test/lymph0.csv,800,22,22,19,2.666,0.0999999999999943,0.105000000000004,0.888888888888889,0.888888888888889,0.833333333333333
data/folds/test/lymph0.csv,900,26,26,23,0.660999999999987,0.126000000000005,0.123000000000005,0.888888888888889,0.888888888888889,0.611111111111111
data/folds/test/lymph0.csv,1000,26,26,23,0.856999999999999,0.149999999999991,0.11999999999999,0.888888888888889,0.888888888888889,0.611111111111111
