dataset,accuracy,rules,antlength,buildtime
anneal,0.992221947839925,25.1,2.28014472403603,1.16
australian,0.821549141395689,41.7,3.78099527249237,67.89
autos,0.791980585521775,44.2,2.48905696782615,2.68
breast-w,0.951364126789724,20.1,2.69408484737769,1.58
colic,0.774924924924925,54.4,2.76470915352991,0.91
credit-a,0.811445621726952,58.9,3.61073436208242,43.88
credit-g,0.761,150.8,3.42986998329254,57.28
diabetes,0.763038277511962,29.7,2.88612866737363,74.46
glass,0.688512453729845,22,2.79590617238848,16.45
heart-statlog,0.781481481481481,25.9,3.55645405319318,3.85
hepatitis,0.820024509803921,22.4,2.98707508281192,0.54
hypothyroid,0.981713648216198,14.7,2.40686602870813,100.88
ionosphere,0.859981325863679,21.9,1.91762414210927,28.33
iris,0.933333333333333,4.1,1.14333333333333,0.27
labor,0.86,7.8,1.76686507936508,0.1
letter,0.294733268404838,78.3,2.91692171050368,142.79
lymph,0.785357142857143,37.3,2.94389023652182,0.09
segment,0.940692640692641,65.9,2.63837705301669,2465.38
sonar,0.716753246753247,19.3,2.71990174857822,19.71
spambase,0.870461429607315,130.9,2.20103890370539,1779.14
vehicle,0.700787967955943,78.5,3.62385818089158,103.51
vowel,0.692929292929293,91.3,3.41173373025297,1534.79
