name,datasets,accuracy,rules,antlength,buildtime,median-buildtime,won,tie,loss,omitted,wilcoxonPval
186-numericOnly-T-A-mci=0-cba.csv,22,0.80778623199853,91.89999999999999,3.3846303143845797,24.839545454545455,19.765,6,12,4,0,0.7531523647659145
114-noExtend-A-mci=0-cba.csv,22,0.80778623199853,91.89999999999999,3.3846303143845797,32.971363636363634,19.325,6,12,4,0,0.7531523647659145
117-noExtend-D-mci=0-cba.csv,22,0.8075468342284757,84.27272727272728,3.376113673033987,18.36636363636364,12.27,,,,,
196-numericOnly-T-Pcba-A-transactionBased-mci=0-cba.csv,22,0.80778623199853,91.89999999999999,3.3846303143845797,25.199090909090913,19.130000000000003,6,12,4,0,0.7531523647659145
117-noExtend-D-mci=0-qcba.csv,22,0.7977309112290918,84.27272727272728,3.3712667058249504,0.3536363636363636,0.11499999999999999,12,2,8,0,0.6012127057398096
42-noExtend-T-A-mci=0-qcba.csv,22,0.8056491843335704,91.89545454545454,2.823562782979811,4.491363636363636,0.59,12,0,10,0,0.7331868995612068
120-noExtend-mci=0-cba.csv,22,0.80778623199853,91.89999999999999,3.3846303143845797,33.74636363636364,23.53,6,12,4,0,0.7531523647659145
120-noExtend-mci=0-qcba.csv,22,0.8105821841486853,91.89545454545454,3.3799926773190836,0.9095454545454547,0.265,14,1,7,0,0.33915541347158473
198-numericOnly-T-Pcba-A-mci=0-qcba.csv,22,0.8136589532655134,65.81363636363636,2.7935631923232287,291.73818181818183,23.22,14,1,7,0,0.11535248997341421
114-noExtend-A-mci=0-qcba.csv,22,0.809626927633807,91.89545454545454,2.823562782979811,4.1477272727272725,0.53,15,0,7,0,0.5699338801555559
42-noExtend-T-A-mci=0-cba.csv,22,0.80778623199853,91.89999999999999,3.3846303143845797,33.08136363636363,19.235,6,12,4,0,0.7531523647659145
186-numericOnly-T-A-mci=0-qcba.csv,22,0.8096770469948072,91.89545454545454,2.823562782979811,294.3677272727272,22.905,11,0,11,0,0.6148113070366257
197-numericOnly-T-Pcba-A-rangeBased-mci=0-qcba.csv,22,0.8136589532655134,65.41363636363634,2.7928289531713246,294.47772727272724,24.135,14,1,7,0,0.11535248997341421
198-numericOnly-T-Pcba-A-mci=0-cba.csv,22,0.80778623199853,91.89999999999999,3.3846303143845797,25.376818181818184,19.66,6,12,4,0,0.7531523647659145
197-numericOnly-T-Pcba-A-rangeBased-mci=0-cba.csv,22,0.80778623199853,91.89999999999999,3.3846303143845797,24.846363636363638,18.785,6,12,4,0,0.7531523647659145
196-numericOnly-T-Pcba-A-transactionBased-mci=0-qcba.csv,22,0.7997402894245376,47.5090909090909,2.7711622469722945,292.985,24.02,11,0,11,0,0.32207523283525596
