dataset,accuracy,rules,antlength,buildtime
anneal,0.992221947839925,25.1,2.28014472403603,1.14
australian,0.866670929241262,75.6,3.76638215605316,67.53
autos,0.782989902291962,50,2.50910251684201,2.64
breast-w,0.94987344355991,30.9,2.7474903153998,1.53
colic,0.788517464833254,87.7,2.86606403909356,0.82
credit-a,0.853690171720862,112.6,3.6232846249901,42.14
credit-g,0.758,160.9,3.44988190779501,57.92
diabetes,0.769617224880383,41.4,2.96252727991056,75.49
glass,0.692860279816802,24.1,2.77651280672795,16.46
heart-statlog,0.807407407407407,48,3.61508721667391,3.47
hepatitis,0.820024509803921,28.9,3.05698674968072,0.51
hypothyroid,0.986488184025216,15.7,2.45059352927774,88.24
ionosphere,0.883174603174603,40.3,1.89511544245465,28.04
iris,0.933333333333333,5,1.22904761904762,0.23
labor,0.876666666666667,10.6,1.6461038961039,0.08
letter,0.294733268404838,78.3,2.91692171050368,143.98
lymph,0.785357142857143,37.3,2.94389023652182,0.14
segment,0.951948051948052,89.2,2.65364671166746,2474.41
sonar,0.773917748917749,34.8,2.76989327636665,18.4
spambase,0.931533886800238,247.7,2.19841161694731,1762.75
vehicle,0.705511208358173,106.5,3.66364136713546,108.36
vowel,0.695959595959596,97.3,3.43766048788193,1523.96
