dataset,accuracy,rules
anneal,0.9399678318,40.2
australian,0.8637297528,9.1
heart-h,0.7914860427,4.6
heart-statlog,0.7592592593,11.1
kr-vs-kp,0.9934296445,25.4
heart-c,0.792836485,10.4
pima,0.7358509911,7.7
tic-tac-toe,0.9425957452,30.8
audiology,0.7989693278,28
balance-scale,0.7727907884,27.8
car,0.9710235153,58.6
breast-cancer,0.7304926108,5.9
house-votes-84,0.9584440753,4.1
primary-tumor,0.4149415561,21.8
soybean,0.9324862333,43.4
splice,0.9454676177,31.5
mushroom,1,20.7
vote,0.9584440753,4.1
zoo,0.934040404,7.2
autos,0.7888629182,31.8
breast-w,0.944180445,9.6
colic,0.8591038407,4.6
credit-a,0.8609791743,7.3
credit-g,0.716,26.8
diabetes,0.7358509911,7.7
glass,0.6509046992,14.8
hepatitis,0.8067401961,3.9
hypothyroid,0.9957608393,12.1
ionosphere,0.8741876751,7
iris,0.94,3.7
labor,0.71,3.5
letter,0.8793571774,1181.3
lymph,0.7401785714,8.4
sick,0.9886053624,20.9
sonar,0.6782034632,6.6
vehicle,0.719660556,44.4
segment,0.9662337662,38.6
spambase,0.9293642137,84.7
vowel,0.8333333333,115.9
waveform-5000,0.7653871324,102.3
