rules,suppport,confidence,lift
"{attribute_36=[-Inf;0.5047],attribute_51=(0.01325; Inf],attribute_48=(0.07585; Inf],attribute_5=(0.0392; Inf]} => {Class=Mine}",0.22,1.00,0.00 
"{attribute_10=(0.16315; Inf],attribute_47=(0.0613; Inf],attribute_36=[-Inf;0.5047],attribute_51=(0.01325; Inf]} => {Class=Mine}",0.22,1.00,0.00 
"{attribute_36=[-Inf;0.5047],attribute_49=(0.04525; Inf],attribute_51=(0.01325; Inf],attribute_11=(0.16095; Inf]} => {Class=Mine}",0.22,1.00,0.00 
"{attribute_46=[-Inf;0.1734],attribute_21=[-Inf;0.67995],attribute_54=[-Inf;0.0225],attribute_10=[-Inf;0.16315]} => {Class=Rock}",0.21,1.00,0.00 
"{attribute_45=[-Inf;0.38545],attribute_12=[-Inf;0.1677],attribute_43=[-Inf; Inf],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{attribute_19=[-Inf; Inf],attribute_45=[-Inf;0.38545],attribute_12=[-Inf;0.1677],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{attribute_45=[-Inf;0.38545],attribute_12=[-Inf;0.1677],attribute_35=[-Inf; Inf],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{attribute_40=[-Inf; Inf],attribute_45=[-Inf;0.38545],attribute_12=[-Inf;0.1677],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{attribute_45=[-Inf;0.38545],attribute_12=[-Inf;0.1677],attribute_42=[-Inf; Inf],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{attribute_59=[-Inf; Inf],attribute_45=[-Inf;0.38545],attribute_12=[-Inf;0.1677],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{attribute_45=[-Inf;0.38545],attribute_34=[-Inf; Inf],attribute_12=[-Inf;0.1677],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{attribute_50=[-Inf; Inf],attribute_45=[-Inf;0.38545],attribute_12=[-Inf;0.1677],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{attribute_29=[-Inf; Inf],attribute_45=[-Inf;0.38545],attribute_12=[-Inf;0.1677],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{attribute_31=[-Inf; Inf],attribute_45=[-Inf;0.38545],attribute_12=[-Inf;0.1677],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{attribute_39=[-Inf; Inf],attribute_45=[-Inf;0.38545],attribute_12=[-Inf;0.1677],attribute_21=[-Inf;0.67995]} => {Class=Rock}",0.20,1.00,0.00 
"{ } => {Class=Mine}", 0,0,0
