rules,suppport,confidence,lift
"{thal=(4.5; Inf],slope=(1.5; Inf],number_of_major_vessels=(0.5; Inf],chest=(3.5; Inf]} => {class=present}",0.13,1.00,0.00 
"{fasting_blood_sugar=0,chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5],sex=0} => {class=absent}",0.13,1.00,0.00 
"{number_of_major_vessels=(0.5; Inf],exercise_induced_angina=1,chest=(3.5; Inf],sex=1} => {class=present}",0.14,1.00,0.00 
"{fasting_blood_sugar=0,chest=[-Inf;3.5],sex=0,resting_blood_pressure=[-Inf; Inf]} => {class=absent}",0.16,1.00,0.00 
"{age=[-Inf;54.5],maximum_heart_rate_achieved=(147.5; Inf],sex=0} => {class=absent}",0.12,1.00,0.00 
"{slope=(1.5; Inf],number_of_major_vessels=(0.5; Inf],exercise_induced_angina=1} => {class=present}",0.13,1.00,0.00 
"{fasting_blood_sugar=0,chest=[-Inf;3.5],sex=0,thal=[-Inf;4.5]} => {class=absent}",0.15,1.00,0.00 
"{fasting_blood_sugar=0,thal=(4.5; Inf],number_of_major_vessels=(0.5; Inf],chest=(3.5; Inf]} => {class=present}",0.14,1.00,0.00 
"{age=[-Inf;54.5],maximum_heart_rate_achieved=(147.5; Inf],sex=0,thal=[-Inf;4.5]} => {class=absent}",0.12,1.00,0.00 
"{chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5],exercise_induced_angina=0,sex=0} => {class=absent}",0.13,1.00,0.00 
"{resting_electrocardiographic_results=[-Inf; Inf],number_of_major_vessels=(0.5; Inf],exercise_induced_angina=1,chest=(3.5; Inf]} => {class=present}",0.15,1.00,0.00 
"{maximum_heart_rate_achieved=[-Inf;147.5],number_of_major_vessels=(0.5; Inf],exercise_induced_angina=1,chest=(3.5; Inf]} => {class=present}",0.12,1.00,0.00 
"{fasting_blood_sugar=0,chest=[-Inf;3.5],maximum_heart_rate_achieved=(147.5; Inf],sex=0} => {class=absent}",0.13,1.00,0.00 
"{ } => {class=absent}", 0,0,0
