rules,suppport,confidence,lift
"{Ca=(8.255;10.075],Mg=[-Inf;2.695],Si=[-Inf; Inf],Ba=(0.4; Inf]} => {Type=headlamps}",0.11,1.00,0.00 
"{Mg=[-Inf;2.695],Ca=(8.255;10.075],Fe=[-Inf; Inf],Ba=(0.4; Inf]} => {Type=headlamps}",0.11,1.00,0.00 
"{Al=(1.775; Inf],Ca=(8.255;10.075],Ba=(0.4; Inf]} => {Type=headlamps}",0.10,1.00,0.00 
"{Mg=[-Inf;2.695],Fe=[-Inf; Inf],Na=(14.065; Inf],Ba=(0.4; Inf]} => {Type=headlamps}",0.10,1.00,0.00 
"{Fe=[-Inf; Inf],Si=[-Inf; Inf],Na=(14.065; Inf],Ba=(0.4; Inf]} => {Type=headlamps}",0.10,1.00,0.00 
"{Na=(14.065; Inf],Ba=(0.4; Inf]} => {Type=headlamps}",0.10,1.00,0.00 
"{Al=(1.775; Inf],Si=[-Inf; Inf],Na=(14.065; Inf],Ba=(0.4; Inf]} => {Type=headlamps}",0.10,1.00,0.00 
"{Al=(1.775; Inf],Mg=[-Inf;2.695],Na=(14.065; Inf],Ca=(8.255;10.075]} => {Type=headlamps}",0.10,1.00,0.00 
"{Al=(1.775; Inf],Fe=[-Inf; Inf],Na=(14.065; Inf],Ba=(0.4; Inf]} => {Type=headlamps}",0.10,1.00,0.00 
"{K=[-Inf;0.055],Al=(1.775; Inf],Mg=[-Inf;2.695],Ba=(0.4; Inf]} => {Type=headlamps}",0.09,1.00,0.00 
"{K=[-Inf;0.055],Si=[-Inf; Inf],Ba=(0.4; Inf]} => {Type=headlamps}",0.09,1.00,0.00 
"{K=[-Inf;0.055],Ba=(0.4; Inf]} => {Type=headlamps}",0.09,1.00,0.00 
"{K=[-Inf;0.055],Mg=[-Inf;2.695],Ba=(0.4; Inf]} => {Type=headlamps}",0.09,1.00,0.00 
"{K=[-Inf;0.055],Ca=(8.255;10.075],Ba=(0.4; Inf]} => {Type=headlamps}",0.09,1.00,0.00 
"{ } => {Type=build wind non-float}", 0,0,0
