rules,suppport,confidence,lift
"{a07=(0.029375;0.999995],a26=(-0.98148;0.80245],a03=(0.73947;0.998505],a20=(-0.912755;0.975495]} => {class=g}",0.31,1.00,0.00 
"{a07=(0.029375;0.999995],a03=(0.73947;0.998505],a28=(-0.9258;0.86022],a20=(-0.912755;0.975495]} => {class=g}",0.31,1.00,0.00 
"{a07=(0.029375;0.999995],a03=(0.73947;0.998505],a28=(-0.9258;0.86022]} => {class=g}",0.31,1.00,0.00 
"{a07=(0.029375;0.999995],a30=(-0.91428;0.930305],a03=(0.73947;0.998505],a28=(-0.9258;0.86022]} => {class=g}",0.30,1.00,0.00 
"{a28=(-0.9258;0.86022],a05=(0.418075;0.995175],a03=(0.73947;0.998505],a20=(-0.912755;0.975495]} => {class=g}",0.30,1.00,0.00 
"{a16=(-0.90517;0.96841],a05=(0.418075;0.995175],a03=(0.73947;0.998505],a28=(-0.9258;0.86022]} => {class=g}",0.30,1.00,0.00 
"{a28=(-0.9258;0.86022],a05=(0.418075;0.995175],a03=(0.73947;0.998505],a18=(-0.805795;0.99361]} => {class=g}",0.30,1.00,0.00 
"{a26=(-0.98148;0.80245],a05=(0.418075;0.995175],a03=(0.73947;0.998505],a20=(-0.912755;0.975495]} => {class=g}",0.30,1.00,0.00 
"{a07=(0.029375;0.999995],a26=(-0.98148;0.80245],a02=0,a03=(0.73947;0.998505]} => {class=g}",0.31,1.00,0.00 
"{a05=(0.418075;0.995175],a02=0,a03=(0.73947;0.998505]} => {class=g}",0.30,1.00,0.00 
"{ } => {class=g}", 0,0,0
