rules,suppport,confidence,lift
"{Feature.1=[-Inf;-0.1235]} => {Class=hid}",0.05,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725],Feature.9=(-0.9615; Inf]} => {Class=hid}",0.04,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725],Sex=Male} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725],Feature.5=(1.451; Inf]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Sex=Male,Feature.4=(-0.7345;0.286]} => {Class=hid}",0.03,1.00,0.00 
"{Feature.2=[-Inf;0.4725],Feature.0=[-Inf;-4.6685]} => {Class=hud}",0.03,1.00,0.00 
"{Feature.6=(-0.6605;0.4795],Feature.4=[-Inf;-1.0915],Feature.1=(3.1765; Inf]} => {Class=hod}",0.02,1.00,0.00 
"{Feature.6=(-0.6605;0.4795],Feature.9=(-0.9615; Inf],Feature.4=[-Inf;-1.0915],Feature.1=(3.1765; Inf]} => {Class=hod}",0.02,1.00,0.00 
"{Feature.5=[-Inf;1.451],Feature.2=[-Inf;0.4725],Feature.0=[-Inf;-4.6685]} => {Class=hud}",0.02,1.00,0.00 
"{Feature.4=(-0.7345;0.286],Feature.1=(1.4125;2.1435],Feature.8=(-0.4855;0.122],Feature.0=(-2.403;-1.6645]} => {Class=hAd}",0.02,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Sex=Male,Feature.5=(1.451; Inf]} => {Class=hid}",0.02,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725],Sex=Male,Feature.9=(-0.9615; Inf]} => {Class=hid}",0.02,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.7=(0.083; Inf],Feature.5=(1.451; Inf],Feature.4=(-0.7345;0.286]} => {Class=hid}",0.02,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.7=(0.083; Inf],Feature.9=(-0.9615; Inf],Sex=Male} => {Class=hid}",0.02,1.00,0.00 
"{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725],Feature.5=(1.451; Inf],Feature.4=(-0.7345;0.286]} => {Class=hid}",0.02,1.00,0.00 
"{ } => {Class=hAd}", 0,0,0
