rules,suppport,confidence,lift
"{Mitoses=[-Inf;1.5],Normal_Nucleoli=[-Inf;2.5],Cell_Size_Uniformity=[-Inf;1.5]} => {Class=benign}",0.53,1.00,0.00 
"{Mitoses=[-Inf;1.5],Bare_Nuclei=[-Inf;1.5],Cell_Size_Uniformity=[-Inf;1.5]} => {Class=benign}",0.48,1.00,0.00 
"{Marginal_Adhesion=[-Inf;1.5],Normal_Nucleoli=[-Inf;2.5],Cell_Size_Uniformity=[-Inf;1.5]} => {Class=benign}",0.47,1.00,0.00 
"{Single_Epi_Cell_Size=[-Inf;2.5],Bare_Nuclei=[-Inf;1.5],Cell_Size_Uniformity=[-Inf;1.5]} => {Class=benign}",0.46,1.00,0.00 
"{Clump_Thickness=[-Inf;4.5],Cell_Size_Uniformity=[-Inf;1.5]} => {Class=benign}",0.44,1.00,0.00 
"{Marginal_Adhesion=[-Inf;1.5],Cell_Shape_Uniformity=[-Inf;1.5],Normal_Nucleoli=[-Inf;2.5]} => {Class=benign}",0.43,1.00,0.00 
"{Mitoses=[-Inf;1.5],Clump_Thickness=[-Inf;4.5],Cell_Size_Uniformity=[-Inf;1.5]} => {Class=benign}",0.43,1.00,0.00 
"{Marginal_Adhesion=[-Inf;1.5],Clump_Thickness=[-Inf;4.5],Normal_Nucleoli=[-Inf;2.5]} => {Class=benign}",0.42,1.00,0.00 
"{Single_Epi_Cell_Size=[-Inf;2.5],Cell_Shape_Uniformity=[-Inf;1.5],Bare_Nuclei=[-Inf;1.5]} => {Class=benign}",0.42,1.00,0.00 
"{Cell_Shape_Uniformity=[-Inf;1.5],Clump_Thickness=[-Inf;4.5]} => {Class=benign}",0.41,1.00,0.00 
"{Bland_Chromatin=[-Inf;2.5],Normal_Nucleoli=[-Inf;2.5],Cell_Size_Uniformity=[-Inf;1.5]} => {Class=benign}",0.38,1.00,0.00 
"{ } => {Class=benign}", 0,0,0
