rules,suppport,confidence,lift
"{X12=[-Inf; Inf],X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X14=[-Inf;-0.99016],X8=-1,X4=(-0.5; Inf]} => {Y=-1}",0.12,1.00,0.00 
"{X10=[-Inf;-0.9850745],X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X14=[-Inf;-0.99016],X9=-1,X8=-1} => {Y=-1}",0.13,1.00,0.00 
"{X12=[-Inf; Inf],X2=[-Inf;-0.181654],X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X14=[-Inf;-0.99016],X8=-1} => {Y=-1}",0.14,1.00,0.00 
"{X12=[-Inf; Inf],X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X13=(-0.9285; Inf],X8=-1,X3=[-Inf;-0.6994645]} => {Y=-1}",0.12,1.00,0.00 
"{X12=[-Inf; Inf],X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X14=[-Inf;-0.99016],X8=-1} => {Y=-1}",0.16,1.00,0.00 
"{X2=[-Inf;-0.181654],X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X8=-1,X3=[-Inf;-0.6994645]} => {Y=-1}",0.12,1.00,0.00 
"{X12=[-Inf; Inf],X2=[-Inf;-0.181654],X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X14=[-Inf;-0.99016],X9=-1,X8=-1} => {Y=-1}",0.12,1.00,0.00 
"{X2=[-Inf;-0.181654],X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X14=[-Inf;-0.99016],X13=(-0.9285; Inf],X8=-1} => {Y=-1}",0.12,1.00,0.00 
"{X7=[-Inf;-0.9284215],X6=[-Inf;0.625],X5=[-Inf;-0.153846],X14=[-Inf;-0.99016],X9=-1,X8=-1} => {Y=-1}",0.12,1.00,0.00 
"{X8=1,X1=1,X14=(-0.99016; Inf]} => {Y=1}",0.12,1.00,0.00 
"{X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X14=[-Inf;-0.99016],X9=-1,X13=(-0.9285; Inf],X8=-1} => {Y=-1}",0.11,1.00,0.00 
"{X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X13=(-0.9285; Inf],X8=-1,X3=[-Inf;-0.6994645]} => {Y=-1}",0.12,1.00,0.00 
"{X7=[-Inf;-0.9284215],X5=[-Inf;-0.153846],X14=[-Inf;-0.99016],X8=-1,X4=(-0.5; Inf]} => {Y=-1}",0.12,1.00,0.00 
"{ } => {Y=-1}", 0,0,0
