rules,suppport,confidence,lift
"{VARICES=no,SPIDERS=no,PROTIME=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.41,1.00,0.00 
"{VARICES=no,SPIDERS=no,AGE=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.41,1.00,0.00 
"{SPIDERS=no,SGOT=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.41,1.00,0.00 
"{ASCITES=no,SPIDERS=no,ALBUMIN=(3.85934959349; Inf],VARICES=no} => {Class=LIVE}",0.41,1.00,0.00 
"{SPIDERS=no,SGOT=[-Inf; Inf],AGE=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.41,1.00,0.00 
"{VARICES=no,SPIDERS=no,SGOT=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.41,1.00,0.00 
"{BILIRUBIN=[-Inf;1.41353383458],SPIDERS=no,PROTIME=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.38,1.00,0.00 
"{SPLEEN_PALPABLE=no,SPIDERS=no,ALBUMIN=(3.85934959349; Inf],VARICES=no} => {Class=LIVE}",0.38,1.00,0.00 
"{BILIRUBIN=[-Inf;1.41353383458],SPIDERS=no,ALK_PHOSPHATE=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.38,1.00,0.00 
"{SPLEEN_PALPABLE=no,SPIDERS=no,ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.38,1.00,0.00 
"{BILIRUBIN=[-Inf;1.41353383458],SPIDERS=no,AGE=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.38,1.00,0.00 
"{SPLEEN_PALPABLE=no,SPIDERS=no,ALK_PHOSPHATE=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.38,1.00,0.00 
"{SPLEEN_PALPABLE=no,SPIDERS=no,PROTIME=[-Inf; Inf],LIVER_FIRM=no} => {Class=LIVE}",0.38,1.00,0.00 
"{SPLEEN_PALPABLE=no,SPIDERS=no,PROTIME=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.38,1.00,0.00 
"{SPLEEN_PALPABLE=no,SPIDERS=no,ALK_PHOSPHATE=[-Inf; Inf],LIVER_FIRM=no} => {Class=LIVE}",0.38,1.00,0.00 
"{SEX=female,SPIDERS=no,PROTIME=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.37,1.00,0.00 
"{SEX=female,SPIDERS=no,SGOT=[-Inf; Inf],ALBUMIN=(3.85934959349; Inf]} => {Class=LIVE}",0.37,1.00,0.00 
"{ } => {Class=LIVE}", 0,0,0
