rules,suppport,confidence,lift
"{RADIUS.RATIO=[-Inf;174.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],KURTOSIS.ABOUT_MAJOR=[-Inf;19.5],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.10,1.00,0.00 
"{RADIUS.RATIO=[-Inf;174.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],DISTANCE.CIRCULARITY=(76.5;92.5],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.09,1.00,0.00 
"{MAX.LENGTH.ASPECT.RATIO=(8.5;16],DISTANCE.CIRCULARITY=(76.5;92.5],SCALED.VARIANCE_MAJOR=(165.5;180.5],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.08,1.00,0.00 
"{RADIUS.RATIO=[-Inf;174.5],ELONGATEDNESS=(41.5;44.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.08,1.00,0.00 
"{SCATTER.RATIO=(142.5;154.5],SKEWNESS.ABOUT_MINOR=[-Inf;10.5],KURTOSIS.ABOUT_MINOR=[-Inf;181.5],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{SCALED.VARIANCE_MINOR=(305.5;344.5],SKEWNESS.ABOUT_MINOR=[-Inf;10.5],KURTOSIS.ABOUT_MINOR=[-Inf;181.5],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{RADIUS.RATIO=[-Inf;174.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],SCALED.VARIANCE_MINOR=(344.5;389.5],CIRCULARITY=(40.5;49.5]} => {Class=van}",0.07,1.00,0.00 
"{PR.AXIS.RECTANGULARITY=(18.5;19.5],SKEWNESS.ABOUT_MINOR=[-Inf;10.5],KURTOSIS.ABOUT_MINOR=[-Inf;181.5],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{SKEWNESS.ABOUT_MINOR=[-Inf;10.5],SCALED.VARIANCE_MAJOR=(165.5;180.5],KURTOSIS.ABOUT_MAJOR=[-Inf;19.5],KURTOSIS.ABOUT_MINOR=[-Inf;181.5]} => {Class=bus}",0.07,1.00,0.00 
"{SCALED.VARIANCE_MAJOR=(165.5;180.5],KURTOSIS.ABOUT_MINOR=[-Inf;181.5],CIRCULARITY=(40.5;49.5]} => {Class=bus}",0.07,1.00,0.00 
"{SCALED.RADIUS.OF.GYRATION=(170.5;189.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],RADIUS.RATIO=[-Inf;174.5]} => {Class=van}",0.07,1.00,0.00 
