rules,suppport,confidence,lift
"{plas=[-Inf;99.5],mass=[-Inf;29.65],age=[-Inf;28.5],preg=[-Inf;6.5]} => {class=tested_negative}",0.09,1.00,0.00 
"{plas=[-Inf;99.5],mass=[-Inf;29.65],age=[-Inf;28.5],pedi=[-Inf; Inf]} => {class=tested_negative}",0.09,1.00,0.00 
"{plas=[-Inf;99.5],mass=[-Inf;29.65],age=[-Inf;28.5]} => {class=tested_negative}",0.09,1.00,0.00 
"{plas=[-Inf;99.5],mass=[-Inf;29.65],age=[-Inf;28.5],skin=[-Inf; Inf]} => {class=tested_negative}",0.09,1.00,0.00 
"{plas=[-Inf;99.5],mass=[-Inf;29.65],age=[-Inf;28.5],insu=(14.5;87.5]} => {class=tested_negative}",0.04,1.00,0.00 
"{plas=(154.5; Inf],insu=(143; Inf],age=(28.5; Inf],preg=(6.5; Inf]} => {class=tested_positive}",0.02,1.00,0.00 
"{skin=[-Inf; Inf],plas=(154.5; Inf],insu=(143; Inf],preg=(6.5; Inf]} => {class=tested_positive}",0.02,1.00,0.00 
"{mass=(29.65; Inf],plas=(154.5; Inf],insu=(143; Inf],preg=(6.5; Inf]} => {class=tested_positive}",0.02,1.00,0.00 
"{age=(28.5; Inf],pedi=[-Inf; Inf],insu=(14.5;87.5],preg=(6.5; Inf]} => {class=tested_negative}",0.01,1.00,0.00 
"{skin=[-Inf; Inf],pedi=[-Inf; Inf],insu=(14.5;87.5],preg=(6.5; Inf]} => {class=tested_negative}",0.01,1.00,0.00 
"{pres=[-Inf; Inf],skin=[-Inf; Inf],preg=(6.5; Inf],insu=(14.5;87.5]} => {class=tested_negative}",0.01,1.00,0.00 
"{preg=[-Inf;6.5],plas=[-Inf;99.5],mass=[-Inf;29.65],insu=(87.5;143]} => {class=tested_negative}",0.01,1.00,0.00 
"{plas=[-Inf;99.5],mass=[-Inf;29.65],skin=[-Inf; Inf],insu=(87.5;143]} => {class=tested_negative}",0.01,1.00,0.00 
"{ } => {class=tested_negative}", 0,0,0
