rules,suppport,confidence,lift
"{oldpeak=(1.7; Inf],thal=(4.5; Inf],slope=(1.5; Inf],chest=(3.5; Inf]} => {class=present}",0.12,1.00,0.00 
"{age=[-Inf;54.5],oldpeak=[-Inf;1.7],exercise_induced_angina=0,sex=0} => {class=absent}",0.12,1.00,0.00 
"{fasting_blood_sugar=0,chest=[-Inf;3.5],sex=0,thal=[-Inf;4.5]} => {class=absent}",0.16,1.00,0.00 
"{age=[-Inf;54.5],chest=[-Inf;3.5],sex=0,thal=[-Inf;4.5]} => {class=absent}",0.11,1.00,0.00 
"{age=[-Inf;54.5],exercise_induced_angina=0,resting_electrocardiographic_results=[-Inf; Inf],sex=0} => {class=absent}",0.12,1.00,0.00 
"{chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5],resting_electrocardiographic_results=[-Inf; Inf],sex=0} => {class=absent}",0.14,1.00,0.00 
"{age=[-Inf;54.5],sex=0,maximum_heart_rate_achieved=(147.5; Inf],fasting_blood_sugar=0} => {class=absent}",0.10,1.00,0.00 
"{age=[-Inf;54.5],chest=[-Inf;3.5],sex=0} => {class=absent}",0.11,1.00,0.00 
"{fasting_blood_sugar=0,chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5],sex=0} => {class=absent}",0.13,1.00,0.00 
"{oldpeak=(1.7; Inf],thal=(4.5; Inf],exercise_induced_angina=1,sex=1} => {class=present}",0.10,1.00,0.00 
"{age=[-Inf;54.5],oldpeak=[-Inf;1.7],sex=0,thal=[-Inf;4.5]} => {class=absent}",0.13,1.00,0.00 
"{oldpeak=(1.7; Inf],thal=(4.5; Inf],resting_electrocardiographic_results=[-Inf; Inf],exercise_induced_angina=1} => {class=present}",0.11,1.00,0.00 
"{oldpeak=(1.7; Inf],thal=(4.5; Inf],slope=(1.5; Inf],exercise_induced_angina=1} => {class=present}",0.11,1.00,0.00 
"{ } => {class=absent}", 0,0,0
