rules,suppport,confidence,lift
"{value.mean=(101.7777; Inf],rawblue.mean=(101.7777; Inf],intensity.mean=(82.9815; Inf]} => {class=sky}",0.14,1.00,0.00 
"{rawblue.mean=(101.7777; Inf]} => {class=sky}",0.14,1.00,0.00 
"{rawgreen.mean=(71.27775; Inf],rawred.mean=(67.83335; Inf],rawblue.mean=(101.7777; Inf],intensity.mean=(82.9815; Inf]} => {class=sky}",0.14,1.00,0.00 
"{value.mean=(101.7777; Inf],intensity.mean=(82.9815; Inf]} => {class=sky}",0.14,1.00,0.00 
"{rawgreen.mean=(71.27775; Inf],rawblue.mean=(101.7777; Inf],intensity.mean=(82.9815; Inf]} => {class=sky}",0.14,1.00,0.00 
"{value.mean=(101.7777; Inf],rawred.mean=(67.83335; Inf],intensity.mean=(82.9815; Inf]} => {class=sky}",0.14,1.00,0.00 
"{value.mean=(101.7777; Inf],short.line.density.2=[-Inf;0.0555555]} => {class=sky}",0.14,1.00,0.00 
"{rawgreen.mean=(71.27775; Inf],region.pixel.count=9,rawblue.mean=(101.7777; Inf]} => {class=sky}",0.14,1.00,0.00 
"{rawgreen.mean=(71.27775; Inf],region.pixel.count=9,rawred.mean=(67.83335; Inf],intensity.mean=(82.9815; Inf]} => {class=sky}",0.14,1.00,0.00 
"{region.pixel.count=9,rawblue.mean=(101.7777; Inf],intensity.mean=(82.9815; Inf]} => {class=sky}",0.14,1.00,0.00 
"{value.mean=(101.7777; Inf],rawgreen.mean=(71.27775; Inf],region.pixel.count=9} => {class=sky}",0.14,1.00,0.00 
"{region.pixel.count=9,value.mean=(101.7777; Inf],rawblue.mean=(101.7777; Inf],intensity.mean=(82.9815; Inf]} => {class=sky}",0.14,1.00,0.00 
"{value.mean=(101.7777; Inf],rawgreen.mean=(71.27775; Inf],region.pixel.count=9,rawblue.mean=(101.7777; Inf]} => {class=sky}",0.14,1.00,0.00 
"{region.pixel.count=9,rawred.mean=(67.83335; Inf],rawblue.mean=(101.7777; Inf],intensity.mean=(82.9815; Inf]} => {class=sky}",0.14,1.00,0.00 
"{ } => {class=brickface}", 0,0,0
